Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly)  
 04/08  01:00:00,19.07,0.0,0.0,0.0,0.0
 04/08  02:00:00,18.11,0.0,0.0,0.0,0.0
 04/08  03:00:00,17.19,0.0,0.0,0.0,0.0
 04/08  04:00:00,16.3,0.0,0.0,0.0,0.0
 04/08  05:00:00,15.49,0.0,0.0,0.0,0.0
 04/08  06:00:00,15.01,0.0,0.0,0.07,0.0
 04/08  07:00:00,15.0,0.04,0.01,0.15,0.0
 04/08  08:00:00,21.91,0.04,0.01,2.37,0.0
 04/08  09:00:00,22.0,0.12,0.04,1.52,0.0
 04/08  10:00:00,22.0,0.12,0.04,1.03,0.0
 04/08  11:00:00,22.0,0.12,0.04,0.7,0.0
 04/08  12:00:00,22.0,0.12,0.04,0.46,0.0
 04/08  13:00:00,22.0,0.04,0.01,0.38,0.0
 04/08  14:00:00,22.0,0.04,0.01,0.28,0.0
 04/08  15:00:00,22.0,0.04,0.01,0.19,0.0
 04/08  16:00:00,22.0,0.04,0.01,0.14,0.0
 04/08  17:00:00,22.0,0.04,0.01,0.12,0.0
 04/08  18:00:00,21.28,0.0,0.0,0.0,0.0
 04/08  19:00:00,20.69,0.0,0.0,0.0,0.0
 04/08  20:00:00,19.88,0.0,0.0,0.0,0.0
 04/08  21:00:00,18.91,0.0,0.0,0.0,0.0
 04/08  22:00:00,17.82,0.0,0.0,0.0,0.0
 04/08  23:00:00,16.78,0.0,0.0,0.0,0.0
 04/08  24:00:00,15.81,0.0,0.0,0.0,0.0
 04/09  01:00:00,15.05,0.0,0.0,0.06,0.0
 04/09  02:00:00,15.0,0.0,0.0,0.28,0.0
 04/09  03:00:00,15.0,0.0,0.0,0.43,0.0
 04/09  04:00:00,15.0,0.0,0.0,0.55,0.0
 04/09  05:00:00,15.0,0.0,0.0,0.67,0.0
 04/09  06:00:00,15.0,0.0,0.0,0.77,0.0
 04/09  07:00:00,15.0,0.0,0.0,0.84,0.0
 04/09  08:00:00,21.88,0.0,0.0,3.31,0.0
 04/09  09:00:00,22.0,0.0,0.0,2.35,0.0
 04/09  10:00:00,22.0,0.0,0.0,1.79,0.0
 04/09  11:00:00,22.0,0.0,0.0,1.42,0.0
 04/09  12:00:00,22.0,0.0,0.0,1.15,0.0
 04/09  13:00:00,22.0,0.0,0.0,0.91,0.0
 04/09  14:00:00,22.0,0.0,0.0,0.74,0.0
 04/09  15:00:00,22.0,0.0,0.0,0.62,0.0
 04/09  16:00:00,22.0,0.0,0.0,0.52,0.0
 04/09  17:00:00,22.0,0.0,0.0,0.48,0.0
 04/09  18:00:00,20.13,0.0,0.0,0.0,0.0
 04/09  19:00:00,19.34,0.0,0.0,0.0,0.0
 04/09  20:00:00,18.49,0.0,0.0,0.0,0.0
 04/09  21:00:00,17.52,0.0,0.0,0.0,0.0
 04/09  22:00:00,16.47,0.0,0.0,0.0,0.0
 04/09  23:00:00,15.4,0.0,0.0,0.0,0.0
 04/09  24:00:00,15.0,0.0,0.0,0.21,0.0
 04/10  01:00:00,15.0,0.0,0.0,0.44,0.0
 04/10  02:00:00,15.0,0.0,0.0,0.59,0.0
 04/10  03:00:00,15.0,0.0,0.0,0.72,0.0
 04/10  04:00:00,15.0,0.0,0.0,0.84,0.0
 04/10  05:00:00,15.0,0.0,0.0,0.95,0.0
 04/10  06:00:00,15.0,0.0,0.0,1.02,0.0
 04/10  07:00:00,15.0,0.04,0.01,1.02,0.0
 04/10  08:00:00,21.88,0.08,0.03,3.48,0.0
 04/10  09:00:00,22.0,0.38,0.13,2.04,0.0
 04/10  10:00:00,22.0,0.38,0.13,1.3,0.0
 04/10  11:00:00,22.0,0.38,0.13,0.87,0.0
 04/10  12:00:00,22.0,0.38,0.13,0.63,0.0
 04/10  13:00:00,22.0,0.2,0.07,0.73,0.0
 04/10  14:00:00,22.0,0.38,0.13,0.43,0.0
 04/10  15:00:00,22.0,0.38,0.13,0.28,0.0
 04/10  16:00:00,22.0,0.38,0.13,0.19,0.0
 04/10  17:00:00,22.0,0.38,0.13,0.15,0.0
 04/10  18:00:00,20.41,0.12,0.04,0.0,0.0
 04/10  19:00:00,19.33,0.04,0.01,0.0,0.0
 04/10  20:00:00,18.38,0.04,0.01,0.0,0.0
 04/10  21:00:00,17.33,0.02,0.01,0.0,0.0
 04/10  22:00:00,16.26,0.02,0.01,0.0,0.0
 04/10  23:00:00,15.24,0.02,0.01,0.02,0.0
 04/10  24:00:00,15.0,0.02,0.01,0.26,0.0
 04/11  01:00:00,15.0,0.0,0.0,0.49,0.0
 04/11  02:00:00,15.0,0.0,0.0,0.64,0.0
 04/11  03:00:00,15.0,0.0,0.0,0.79,0.0
 04/11  04:00:00,15.0,0.0,0.0,0.92,0.0
 04/11  05:00:00,15.0,0.0,0.0,1.02,0.0
 04/11  06:00:00,15.0,0.0,0.0,1.09,0.0
 04/11  07:00:00,15.0,0.04,0.01,1.08,0.0
 04/11  08:00:00,21.88,0.08,0.03,3.52,0.0
 04/11  09:00:00,22.0,0.38,0.13,2.02,0.0
 04/11  10:00:00,22.0,0.38,0.13,1.22,0.0
 04/11  11:00:00,22.0,0.38,0.13,0.7,0.0
 04/11  12:00:00,22.0,0.38,0.13,0.34,0.0
 04/11  13:00:00,22.0,0.2,0.07,0.3,0.0
 04/11  14:00:00,22.28,0.38,0.13,0.0,0.0
 04/11  15:00:00,23.09,0.38,0.13,0.0,0.0
 04/11  16:00:00,23.9,0.38,0.13,0.0,0.0
 04/11  17:00:00,24.42,0.38,0.13,0.0,0.0
 04/11  18:00:00,23.5,0.12,0.04,0.0,0.0
 04/11  19:00:00,22.67,0.04,0.01,0.0,0.0
 04/11  20:00:00,21.88,0.04,0.01,0.0,0.0
 04/11  21:00:00,20.98,0.02,0.01,0.0,0.0
 04/11  22:00:00,20.09,0.02,0.01,0.0,0.0
 04/11  23:00:00,19.18,0.02,0.01,0.0,0.0
 04/11  24:00:00,18.26,0.02,0.01,0.0,0.0
 04/12  01:00:00,17.28,0.0,0.0,0.0,0.0
 04/12  02:00:00,16.38,0.0,0.0,0.0,0.0
 04/12  03:00:00,15.55,0.0,0.0,0.0,0.0
 04/12  04:00:00,15.01,0.0,0.0,0.07,0.0
 04/12  05:00:00,15.0,0.0,0.0,0.23,0.0
 04/12  06:00:00,15.0,0.0,0.0,0.33,0.0
 04/12  07:00:00,15.0,0.04,0.01,0.33,0.0
 04/12  08:00:00,21.9,0.08,0.03,2.57,0.0
 04/12  09:00:00,22.0,0.38,0.13,1.36,0.0
 04/12  10:00:00,22.0,0.38,0.13,0.78,0.0
 04/12  11:00:00,22.0,0.38,0.13,0.4,0.0
 04/12  12:00:00,22.0,0.38,0.13,0.1,0.0
 04/12  13:00:00,22.0,0.2,0.07,0.11,0.0
 04/12  14:00:00,23.06,0.38,0.13,0.0,0.0
 04/12  15:00:00,24.04,0.38,0.13,0.0,0.0
 04/12  16:00:00,24.92,0.38,0.13,0.0,0.0
 04/12  17:00:00,25.44,0.38,0.13,0.0,0.0
 04/12  18:00:00,24.4,0.12,0.04,0.0,0.0
 04/12  19:00:00,23.51,0.04,0.01,0.0,0.0
 04/12  20:00:00,22.63,0.04,0.01,0.0,0.0
 04/12  21:00:00,21.6,0.02,0.01,0.0,0.0
 04/12  22:00:00,20.5,0.02,0.01,0.0,0.0
 04/12  23:00:00,19.47,0.02,0.01,0.0,0.0
 04/12  24:00:00,18.54,0.02,0.01,0.0,0.0
 04/13  01:00:00,17.56,0.0,0.0,0.0,0.0
 04/13  02:00:00,16.65,0.0,0.0,0.0,0.0
 04/13  03:00:00,15.76,0.0,0.0,0.0,0.0
 04/13  04:00:00,15.07,0.0,0.0,0.04,0.0
 04/13  05:00:00,15.0,0.0,0.0,0.21,0.0
 04/13  06:00:00,15.0,0.0,0.0,0.32,0.0
 04/13  07:00:00,15.0,0.04,0.01,0.32,0.0
 04/13  08:00:00,21.9,0.08,0.03,2.53,0.0
 04/13  09:00:00,22.0,0.38,0.13,1.39,0.0
 04/13  10:00:00,22.0,0.38,0.13,0.85,0.0
 04/13  11:00:00,22.0,0.38,0.13,0.52,0.0
 04/13  12:00:00,22.0,0.38,0.13,0.27,0.0
 04/13  13:00:00,22.0,0.2,0.07,0.3,0.0
 04/13  14:00:00,22.04,0.38,0.13,0.02,0.0
 04/13  15:00:00,22.39,0.38,0.13,0.0,0.0
 04/13  16:00:00,22.81,0.38,0.13,0.0,0.0
 04/13  17:00:00,23.08,0.38,0.13,0.0,0.0
 04/13  18:00:00,22.12,0.12,0.04,0.0,0.0
 04/13  19:00:00,21.16,0.04,0.01,0.0,0.0
 04/13  20:00:00,20.23,0.04,0.01,0.0,0.0
 04/13  21:00:00,19.21,0.02,0.01,0.0,0.0
 04/13  22:00:00,18.2,0.02,0.01,0.0,0.0
 04/13  23:00:00,17.24,0.02,0.01,0.0,0.0
 04/13  24:00:00,16.32,0.02,0.01,0.0,0.0
 04/14  01:00:00,15.34,0.0,0.0,0.0,0.0
 04/14  02:00:00,15.0,0.0,0.0,0.17,0.0
 04/14  03:00:00,15.0,0.0,0.0,0.35,0.0
 04/14  04:00:00,15.0,0.0,0.0,0.48,0.0
 04/14  05:00:00,15.0,0.0,0.0,0.58,0.0
 04/14  06:00:00,15.0,0.0,0.0,0.67,0.0
 04/14  07:00:00,15.0,0.04,0.01,0.66,0.0
 04/14  08:00:00,21.89,0.08,0.03,3.04,0.0
 04/14  09:00:00,22.0,0.38,0.13,1.73,0.0
 04/14  10:00:00,22.0,0.38,0.13,1.12,0.0
 04/14  11:00:00,22.0,0.38,0.13,0.74,0.0
 04/14  12:00:00,22.0,0.38,0.13,0.46,0.0
 04/14  13:00:00,22.0,0.2,0.07,0.48,0.0
 04/14  14:00:00,22.0,0.38,0.13,0.18,0.0
 04/14  15:00:00,22.0,0.38,0.13,0.08,0.0
 04/14  16:00:00,22.09,0.38,0.13,0.0,0.0
 04/14  17:00:00,22.29,0.38,0.13,0.0,0.0
 04/14  18:00:00,21.34,0.12,0.04,0.0,0.0
 04/14  19:00:00,20.37,0.04,0.01,0.0,0.0
 04/14  20:00:00,19.41,0.04,0.01,0.0,0.0
 04/14  21:00:00,18.36,0.02,0.01,0.0,0.0
 04/14  22:00:00,17.32,0.02,0.01,0.0,0.0
 04/14  23:00:00,16.31,0.02,0.01,0.0,0.0
 04/14  24:00:00,15.34,0.02,0.01,0.0,0.0
 04/15  01:00:00,15.0,0.0,0.0,0.21,0.0
 04/15  02:00:00,15.0,0.0,0.0,0.39,0.0
 04/15  03:00:00,15.0,0.0,0.0,0.49,0.0
 04/15  04:00:00,15.0,0.0,0.0,0.6,0.0
 04/15  05:00:00,15.0,0.0,0.0,0.69,0.0
 04/15  06:00:00,15.0,0.0,0.0,0.77,0.0
 04/15  07:00:00,15.0,0.04,0.01,0.75,0.0
 04/15  08:00:00,21.89,0.04,0.01,3.2,0.0
 04/15  09:00:00,22.0,0.12,0.04,2.13,0.0
 04/15  10:00:00,22.0,0.12,0.04,1.56,0.0
 04/15  11:00:00,22.0,0.12,0.04,1.16,0.0
 04/15  12:00:00,22.0,0.12,0.04,0.85,0.0
 04/15  13:00:00,22.0,0.04,0.01,0.7,0.0
 04/15  14:00:00,22.0,0.04,0.01,0.56,0.0
 04/15  15:00:00,22.0,0.04,0.01,0.47,0.0
 04/15  16:00:00,22.0,0.04,0.01,0.42,0.0
 04/15  17:00:00,22.0,0.04,0.01,0.42,0.0
 04/15  18:00:00,20.01,0.0,0.0,0.0,0.0
 04/15  19:00:00,19.08,0.0,0.0,0.0,0.0
 04/15  20:00:00,18.29,0.0,0.0,0.0,0.0
 04/15  21:00:00,17.48,0.0,0.0,0.0,0.0
 04/15  22:00:00,16.66,0.0,0.0,0.0,0.0
 04/15  23:00:00,15.81,0.0,0.0,0.0,0.0
 04/15  24:00:00,15.08,0.0,0.0,0.05,0.0
 04/16  01:00:00,15.0,0.0,0.0,0.25,0.0
 04/16  02:00:00,15.0,0.0,0.0,0.37,0.0
 04/16  03:00:00,15.0,0.0,0.0,0.45,0.0
 04/16  04:00:00,15.0,0.0,0.0,0.53,0.0
 04/16  05:00:00,15.0,0.0,0.0,0.6,0.0
 04/16  06:00:00,15.0,0.0,0.0,0.66,0.0
 04/16  07:00:00,15.0,0.0,0.0,0.7,0.0
 04/16  08:00:00,21.89,0.0,0.0,3.2,0.0
 04/16  09:00:00,22.0,0.0,0.0,2.28,0.0
 04/16  10:00:00,22.0,0.0,0.0,1.81,0.0
 04/16  11:00:00,22.0,0.0,0.0,1.49,0.0
 04/16  12:00:00,22.0,0.0,0.0,1.22,0.0
 04/16  13:00:00,22.0,0.0,0.0,1.06,0.0
 04/16  14:00:00,22.0,0.0,0.0,0.93,0.0
 04/16  15:00:00,22.0,0.0,0.0,0.82,0.0
 04/16  16:00:00,22.0,0.0,0.0,0.76,0.0
 04/16  17:00:00,22.0,0.0,0.0,0.73,0.0
 04/16  18:00:00,19.22,0.0,0.0,0.0,0.0
 04/16  19:00:00,18.04,0.0,0.0,0.0,0.0
 04/16  20:00:00,17.14,0.0,0.0,0.0,0.0
 04/16  21:00:00,16.27,0.0,0.0,0.0,0.0
 04/16  22:00:00,15.41,0.0,0.0,0.0,0.0
 04/16  23:00:00,15.0,0.0,0.0,0.13,0.0
 04/16  24:00:00,15.0,0.0,0.0,0.29,0.0
 04/17  01:00:00,15.0,0.0,0.0,0.39,0.0
 04/17  02:00:00,15.0,0.0,0.0,0.51,0.0
 04/17  03:00:00,15.0,0.0,0.0,0.63,0.0
 04/17  04:00:00,15.0,0.0,0.0,0.75,0.0
 04/17  05:00:00,15.0,0.0,0.0,0.82,0.0
 04/17  06:00:00,15.0,0.0,0.0,0.86,0.0
 04/17  07:00:00,15.0,0.04,0.01,0.8,0.0
 04/17  08:00:00,21.89,0.08,0.03,3.22,0.0
 04/17  09:00:00,22.0,0.38,0.13,1.84,0.0
 04/17  10:00:00,22.0,0.38,0.13,1.14,0.0
 04/17  11:00:00,22.0,0.38,0.13,0.69,0.0
 04/17  12:00:00,22.0,0.38,0.13,0.35,0.0
 04/17  13:00:00,22.0,0.2,0.07,0.33,0.0
 04/17  14:00:00,22.07,0.38,0.13,0.02,0.0
 04/17  15:00:00,22.66,0.38,0.13,0.0,0.0
 04/17  16:00:00,23.34,0.38,0.13,0.0,0.0
 04/17  17:00:00,23.73,0.38,0.13,0.0,0.0
 04/17  18:00:00,22.81,0.12,0.04,0.0,0.0
 04/17  19:00:00,21.98,0.04,0.01,0.0,0.0
 04/17  20:00:00,21.18,0.04,0.01,0.0,0.0
 04/17  21:00:00,20.24,0.02,0.01,0.0,0.0
 04/17  22:00:00,19.31,0.02,0.01,0.0,0.0
 04/17  23:00:00,18.43,0.02,0.01,0.0,0.0
 04/17  24:00:00,17.63,0.02,0.01,0.0,0.0
 04/18  01:00:00,16.79,0.0,0.0,0.0,0.0
 04/18  02:00:00,16.06,0.0,0.0,0.0,0.0
 04/18  03:00:00,15.37,0.0,0.0,0.0,0.0
 04/18  04:00:00,15.0,0.0,0.0,0.08,0.0
 04/18  05:00:00,15.0,0.0,0.0,0.19,0.0
 04/18  06:00:00,15.0,0.0,0.0,0.25,0.0
 04/18  07:00:00,15.0,0.04,0.01,0.23,0.0
 04/18  08:00:00,21.91,0.08,0.03,2.39,0.0
 04/18  09:00:00,22.0,0.38,0.13,1.18,0.0
 04/18  10:00:00,22.0,0.38,0.13,0.57,0.0
 04/18  11:00:00,22.0,0.38,0.13,0.17,0.0
 04/18  12:00:00,22.35,0.38,0.13,0.0,0.0
 04/18  13:00:00,22.3,0.2,0.07,0.0,0.0
 04/18  14:00:00,23.75,0.38,0.13,0.0,0.0
 04/18  15:00:00,24.68,0.38,0.13,0.0,0.0
 04/18  16:00:00,25.47,0.38,0.13,0.0,0.0
 04/18  17:00:00,25.97,0.38,0.13,0.0,0.0
 04/18  18:00:00,25.21,0.12,0.04,0.0,0.0
 04/18  19:00:00,24.61,0.04,0.01,0.0,0.0
 04/18  20:00:00,24.01,0.04,0.01,0.0,0.0
 04/18  21:00:00,23.19,0.02,0.01,0.0,0.0
 04/18  22:00:00,22.35,0.02,0.01,0.0,0.0
 04/18  23:00:00,21.48,0.02,0.01,0.0,0.0
 04/18  24:00:00,20.61,0.02,0.01,0.0,0.0
 04/19  01:00:00,19.64,0.0,0.0,0.0,0.0
 04/19  02:00:00,18.78,0.0,0.0,0.0,0.0
 04/19  03:00:00,18.0,0.0,0.0,0.0,0.0
 04/19  04:00:00,17.26,0.0,0.0,0.0,0.0
 04/19  05:00:00,16.58,0.0,0.0,0.0,0.0
 04/19  06:00:00,15.93,0.0,0.0,0.0,0.0
 04/19  07:00:00,15.61,0.04,0.01,0.0,0.0
 04/19  08:00:00,21.92,0.08,0.03,1.99,0.0
 04/19  09:00:00,22.0,0.38,0.13,0.97,0.0
 04/19  10:00:00,22.0,0.38,0.13,0.55,0.0
 04/19  11:00:00,22.0,0.38,0.13,0.33,0.0
 04/19  12:00:00,22.0,0.38,0.13,0.21,0.0
 04/19  13:00:00,22.0,0.2,0.07,0.38,0.0
 04/19  14:00:00,22.0,0.38,0.13,0.15,0.0
 04/19  15:00:00,22.0,0.38,0.13,0.08,0.0
 04/19  16:00:00,22.0,0.38,0.13,0.06,0.0
 04/19  17:00:00,22.0,0.38,0.13,0.07,0.0
 04/19  18:00:00,20.48,0.12,0.04,0.0,0.0
 04/19  19:00:00,19.25,0.04,0.01,0.0,0.0
 04/19  20:00:00,18.23,0.04,0.01,0.0,0.0
 04/19  21:00:00,17.14,0.02,0.01,0.0,0.0
 04/19  22:00:00,16.01,0.02,0.01,0.0,0.0
 04/19  23:00:00,15.08,0.02,0.01,0.05,0.0
 04/19  24:00:00,15.0,0.02,0.01,0.28,0.0
 04/20  01:00:00,15.0,0.0,0.0,0.48,0.0
 04/20  02:00:00,15.0,0.0,0.0,0.6,0.0
 04/20  03:00:00,15.0,0.0,0.0,0.7,0.0
 04/20  04:00:00,15.0,0.0,0.0,0.79,0.0
 04/20  05:00:00,15.0,0.0,0.0,0.87,0.0
 04/20  06:00:00,15.0,0.0,0.0,0.95,0.0
 04/20  07:00:00,15.0,0.04,0.01,0.94,0.0
 04/20  08:00:00,21.88,0.08,0.03,3.38,0.0
 04/20  09:00:00,22.0,0.38,0.13,2.03,0.0
 04/20  10:00:00,22.0,0.38,0.13,1.36,0.0
 04/20  11:00:00,22.0,0.38,0.13,0.92,0.0
 04/20  12:00:00,22.0,0.38,0.13,0.6,0.0
 04/20  13:00:00,22.0,0.2,0.07,0.56,0.0
 04/20  14:00:00,22.0,0.38,0.13,0.26,0.0
 04/20  15:00:00,22.0,0.38,0.13,0.17,0.0
 04/20  16:00:00,22.0,0.38,0.13,0.1,0.0
 04/20  17:00:00,22.0,0.38,0.13,0.09,0.0
 04/20  18:00:00,20.58,0.12,0.04,0.0,0.0
 04/20  19:00:00,19.32,0.04,0.01,0.0,0.0
 04/20  20:00:00,18.28,0.04,0.01,0.0,0.0
 04/20  21:00:00,17.24,0.02,0.01,0.0,0.0
 04/20  22:00:00,16.26,0.02,0.01,0.0,0.0
 04/20  23:00:00,15.35,0.02,0.01,0.0,0.0
 04/20  24:00:00,15.0,0.02,0.01,0.15,0.0
 04/21  01:00:00,15.0,0.0,0.0,0.33,0.0
 04/21  02:00:00,15.0,0.0,0.0,0.44,0.0
 04/21  03:00:00,15.0,0.0,0.0,0.53,0.0
 04/21  04:00:00,15.0,0.0,0.0,0.61,0.0
 04/21  05:00:00,15.0,0.0,0.0,0.67,0.0
 04/21  06:00:00,15.0,0.0,0.0,0.71,0.0
 04/21  07:00:00,15.0,0.04,0.01,0.67,0.0
 04/21  08:00:00,21.89,0.08,0.03,3.07,0.0
 04/21  09:00:00,22.0,0.38,0.13,1.79,0.0
 04/21  10:00:00,22.0,0.38,0.13,1.2,0.0
 04/21  11:00:00,22.0,0.38,0.13,0.8,0.0
 04/21  12:00:00,22.0,0.38,0.13,0.5,0.0
 04/21  13:00:00,22.0,0.2,0.07,0.47,0.0
 04/21  14:00:00,22.0,0.38,0.13,0.14,0.0
 04/21  15:00:00,22.04,0.38,0.13,0.02,0.0
 04/21  16:00:00,22.43,0.38,0.13,0.0,0.0
 04/21  17:00:00,22.65,0.38,0.13,0.0,0.0
 04/21  18:00:00,21.56,0.12,0.04,0.0,0.0
 04/21  19:00:00,20.53,0.04,0.01,0.0,0.0
 04/21  20:00:00,19.69,0.04,0.01,0.0,0.0
 04/21  21:00:00,18.78,0.02,0.01,0.0,0.0
 04/21  22:00:00,17.93,0.02,0.01,0.0,0.0
 04/21  23:00:00,17.15,0.02,0.01,0.0,0.0
 04/21  24:00:00,16.42,0.02,0.01,0.0,0.0
 04/22  01:00:00,15.63,0.0,0.0,0.0,0.0
 04/22  02:00:00,15.05,0.0,0.0,0.04,0.0
 04/22  03:00:00,15.0,0.0,0.0,0.18,0.0
 04/22  04:00:00,15.0,0.0,0.0,0.28,0.0
 04/22  05:00:00,15.0,0.0,0.0,0.33,0.0
 04/22  06:00:00,15.0,0.0,0.0,0.36,0.0
 04/22  07:00:00,15.0,0.04,0.01,0.3,0.0
 04/22  08:00:00,21.9,0.04,0.01,2.66,0.0
 04/22  09:00:00,22.0,0.12,0.04,1.8,0.0
 04/22  10:00:00,22.0,0.12,0.04,1.43,0.0
 04/22  11:00:00,22.0,0.12,0.04,1.18,0.0
 04/22  12:00:00,22.0,0.12,0.04,0.98,0.0
 04/22  13:00:00,22.0,0.04,0.01,0.99,0.0
 04/22  14:00:00,22.0,0.04,0.01,0.93,0.0
 04/22  15:00:00,22.0,0.04,0.01,0.87,0.0
 04/22  16:00:00,22.0,0.04,0.01,0.85,0.0
 04/22  17:00:00,22.0,0.04,0.01,0.83,0.0
 04/22  18:00:00,18.9,0.0,0.0,0.0,0.0
 04/22  19:00:00,17.69,0.0,0.0,0.0,0.0
 04/22  20:00:00,16.84,0.0,0.0,0.0,0.0
 04/22  21:00:00,16.01,0.0,0.0,0.0,0.0
 04/22  22:00:00,15.23,0.0,0.0,0.01,0.0
 04/22  23:00:00,15.0,0.0,0.0,0.17,0.0
 04/22  24:00:00,15.0,0.0,0.0,0.32,0.0
 04/23  01:00:00,15.0,0.0,0.0,0.43,0.0
 04/23  02:00:00,15.0,0.0,0.0,0.54,0.0
 04/23  03:00:00,15.0,0.0,0.0,0.66,0.0
 04/23  04:00:00,15.0,0.0,0.0,0.77,0.0
 04/23  05:00:00,15.0,0.0,0.0,0.83,0.0
 04/23  06:00:00,15.0,0.0,0.0,0.84,0.0
 04/23  07:00:00,15.0,0.0,0.0,0.82,0.0
 04/23  08:00:00,21.88,0.0,0.0,3.25,0.0
 04/23  09:00:00,22.0,0.0,0.0,2.21,0.0
 04/23  10:00:00,22.0,0.0,0.0,1.59,0.0
 04/23  11:00:00,22.0,0.0,0.0,1.16,0.0
 04/23  12:00:00,22.0,0.0,0.0,0.83,0.0
 04/23  13:00:00,22.0,0.0,0.0,0.56,0.0
 04/23  14:00:00,22.0,0.0,0.0,0.39,0.0
 04/23  15:00:00,22.0,0.0,0.0,0.31,0.0
 04/23  16:00:00,22.0,0.0,0.0,0.26,0.0
 04/23  17:00:00,22.0,0.0,0.0,0.26,0.0
 04/23  18:00:00,20.76,0.0,0.0,0.0,0.0
 04/23  19:00:00,20.05,0.0,0.0,0.0,0.0
 04/23  20:00:00,19.32,0.0,0.0,0.0,0.0
 04/23  21:00:00,18.58,0.0,0.0,0.0,0.0
 04/23  22:00:00,17.82,0.0,0.0,0.0,0.0
 04/23  23:00:00,17.08,0.0,0.0,0.0,0.0
 04/23  24:00:00,16.37,0.0,0.0,0.0,0.0
 04/24  01:00:00,15.68,0.0,0.0,0.0,0.0
 04/24  02:00:00,15.1,0.0,0.0,0.02,0.0
 04/24  03:00:00,15.0,0.0,0.0,0.14,0.0
 04/24  04:00:00,15.0,0.0,0.0,0.22,0.0
 04/24  05:00:00,15.0,0.0,0.0,0.29,0.0
 04/24  06:00:00,15.0,0.0,0.0,0.35,0.0
 04/24  07:00:00,15.0,0.04,0.01,0.34,0.0
 04/24  08:00:00,21.9,0.08,0.03,2.61,0.0
 04/24  09:00:00,22.0,0.38,0.13,1.34,0.0
 04/24  10:00:00,22.0,0.38,0.13,0.7,0.0
 04/24  11:00:00,22.0,0.38,0.13,0.32,0.0
 04/24  12:00:00,22.0,0.38,0.13,0.08,0.0
 04/24  13:00:00,22.0,0.2,0.07,0.16,0.0
 04/24  14:00:00,22.55,0.38,0.13,0.0,0.0
 04/24  15:00:00,23.06,0.38,0.13,0.0,0.0
 04/24  16:00:00,23.44,0.38,0.13,0.0,0.0
 04/24  17:00:00,23.7,0.38,0.13,0.0,0.0
 04/24  18:00:00,22.68,0.12,0.04,0.0,0.0
 04/24  19:00:00,21.77,0.04,0.01,0.0,0.0
 04/24  20:00:00,21.01,0.04,0.01,0.0,0.0
 04/24  21:00:00,20.16,0.02,0.01,0.0,0.0
 04/24  22:00:00,19.37,0.02,0.01,0.0,0.0
 04/24  23:00:00,18.6,0.02,0.01,0.0,0.0
 04/24  24:00:00,17.86,0.02,0.01,0.0,0.0
 04/25  01:00:00,17.04,0.0,0.0,0.0,0.0
 04/25  02:00:00,16.35,0.0,0.0,0.0,0.0
 04/25  03:00:00,15.73,0.0,0.0,0.0,0.0
 04/25  04:00:00,15.17,0.0,0.0,0.0,0.0
 04/25  05:00:00,15.0,0.0,0.0,0.1,0.0
 04/25  06:00:00,15.0,0.0,0.0,0.19,0.0
 04/25  07:00:00,15.0,0.04,0.01,0.18,0.0
 04/25  08:00:00,21.91,0.08,0.03,2.34,0.0
 04/25  09:00:00,22.0,0.38,0.13,1.28,0.0
 04/25  10:00:00,22.0,0.38,0.13,0.81,0.0
 04/25  11:00:00,22.0,0.38,0.13,0.51,0.0
 04/25  12:00:00,22.0,0.38,0.13,0.29,0.0
 04/25  13:00:00,22.0,0.2,0.07,0.39,0.0
 04/25  14:00:00,22.0,0.38,0.13,0.15,0.0
 04/25  15:00:00,22.0,0.38,0.13,0.09,0.0
 04/25  16:00:00,22.0,0.38,0.13,0.11,0.0
 04/25  17:00:00,22.0,0.38,0.13,0.11,0.0
 04/25  18:00:00,20.52,0.12,0.04,0.0,0.0
 04/25  19:00:00,19.34,0.04,0.01,0.0,0.0
 04/25  20:00:00,18.42,0.04,0.01,0.0,0.0
 04/25  21:00:00,17.5,0.02,0.01,0.0,0.0
 04/25  22:00:00,16.68,0.02,0.01,0.0,0.0
 04/25  23:00:00,15.92,0.02,0.01,0.0,0.0
 04/25  24:00:00,15.22,0.02,0.01,0.0,0.0
 04/26  01:00:00,15.0,0.0,0.0,0.18,0.0
 04/26  02:00:00,15.0,0.0,0.0,0.29,0.0
 04/26  03:00:00,15.0,0.0,0.0,0.35,0.0
 04/26  04:00:00,15.0,0.0,0.0,0.42,0.0
 04/26  05:00:00,15.0,0.0,0.0,0.48,0.0
 04/26  06:00:00,15.0,0.0,0.0,0.52,0.0
 04/26  07:00:00,15.0,0.04,0.01,0.49,0.0
 04/26  08:00:00,21.89,0.08,0.03,2.82,0.0
 04/26  09:00:00,22.0,0.38,0.13,1.53,0.0
 04/26  10:00:00,22.0,0.38,0.13,0.92,0.0
 04/26  11:00:00,22.0,0.38,0.13,0.55,0.0
 04/26  12:00:00,22.0,0.38,0.13,0.33,0.0
 04/26  13:00:00,22.0,0.2,0.07,0.41,0.0
 04/26  14:00:00,22.0,0.38,0.13,0.16,0.0
 04/26  15:00:00,22.0,0.38,0.13,0.11,0.0
