0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.89445,1.9424,3.0854,4.3061,5.6122,6.9776,8.3734,9.8242,11.309,12.829,14.384,15.959,17.567,19.189,20.834,22.492,24.171,25.865,27.576,29.302,31.042,32.797,34.563,36.345,38.137,39.942,41.758,43.585,45.425,47.273,49.133,51.004,52.883,54.773,56.673,58.582,60.501,62.429,64.365,66.311,68.265,70.228,72.2,74.181,76.17,78.169,80.175,82.19,84.214,86.246
0.93,2.0066,3.1861,4.4283,5.7525,7.1371,8.561,10.024,11.519,13.049,14.611,16.193,17.807,19.434,21.087,22.753,24.441,26.14,27.853,29.579,31.319,33.073,34.838,36.619,38.408,40.211,42.024,43.847,45.683,47.527,49.382,51.247,53.121,55.006,56.899,58.801,60.713,62.633,64.562,66.5,68.447,70.401,72.365,74.336,76.316,78.304,80.3,82.304,84.316,86.336
0.96555,2.0708,3.2867,4.5505,5.8928,7.293,8.7378,10.223,11.729,13.268,14.838,16.427,18.046,19.679,21.336,23.005,24.696,26.397,28.116,29.847,31.591,33.348,35.113,36.892,38.68,40.48,42.29,44.109,45.941,47.781,49.631,51.491,53.359,55.238,57.125,59.02,60.925,62.837,64.758,66.688,68.626,70.572,72.526,74.488,76.458,78.435,80.421,82.414,84.414,86.423
1.0011,2.135,3.3796,4.6727,6.0331,7.4489,8.9073,10.405,11.94,13.488,15.066,16.661,18.286,19.924,21.586,23.258,24.951,26.654,28.375,30.106,31.851,33.607,35.374,37.154,38.942,40.742,42.552,44.37,46.199,48.035,49.88,51.735,53.598,55.47,57.35,59.239,61.136,63.042,64.955,66.876,68.805,70.742,72.687,74.639,76.599,78.566,80.541,82.523,84.512,86.509
1.0366,2.1993,3.4674,4.7949,6.1734,7.6049,9.0769,10.587,12.132,13.698,15.293,16.896,18.526,20.169,21.835,23.511,25.207,26.912,28.634,30.366,32.111,33.867,35.633,37.411,39.198,40.996,42.803,44.618,46.444,48.277,50.12,51.971,53.83,55.698,57.574,59.457,61.348,63.246,65.151,67.064,68.985,70.913,72.848,74.791,76.74,78.697,80.661,82.632,84.61,86.595
1.0722,2.2635,3.5553,4.9171,6.3137,7.7608,9.2465,10.768,12.324,13.899,15.503,17.124,18.764,20.414,22.084,23.763,25.462,27.169,28.893,30.625,32.371,34.127,35.892,37.669,39.454,41.249,43.053,44.866,46.688,48.518,50.356,52.202,54.056,55.918,57.788,59.665,61.549,63.441,65.34,67.246,69.159,71.079,73.006,74.94,76.881,78.828,80.781,82.741,84.708,86.681
1.1077,2.3277,3.6431,5.0284,6.454,7.9167,9.416,10.949,12.515,14.1,15.711,17.339,18.986,20.647,22.325,24.015,25.717,27.427,29.151,30.885,32.631,34.386,36.151,37.926,39.709,41.503,43.304,45.114,46.932,48.758,50.592,52.433,54.282,56.139,58.002,59.873,61.751,63.635,65.527,67.425,69.33,71.242,73.16,75.084,77.015,78.953,80.896,82.846,84.802,86.765
1.1413,2.3919,3.7309,5.1362,6.5909,8.0726,9.5856,11.131,12.707,14.301,15.92,17.554,19.207,20.874,22.555,24.249,25.956,27.673,29.402,31.14,32.89,34.646,36.41,38.184,39.965,41.756,43.555,45.361,47.176,48.998,50.828,52.664,54.508,56.359,58.217,60.081,61.952,63.83,65.714,67.604,69.501,71.404,73.314,75.229,77.15,79.078,81.011,82.951,84.896,86.847
1.1716,2.4561,3.8188,5.244,6.7159,8.2277,9.7552,11.312,12.898,14.501,16.129,17.77,19.428,21.1,22.786,24.483,26.193,27.912,29.644,31.382,33.133,34.89,36.657,38.432,40.215,42.006,43.804,45.609,47.421,49.238,51.063,52.895,54.734,56.579,58.431,60.289,62.153,64.024,65.9,67.783,69.672,71.567,73.467,75.373,77.285,79.203,81.126,83.055,84.99,86.929
1.202,2.5203,3.9066,5.3518,6.8409,8.3676,9.9248,11.494,13.09,14.702,16.337,17.985,19.65,21.327,23.017,24.718,26.431,28.152,29.885,31.625,33.376,35.133,36.9,38.674,40.455,42.244,44.04,45.843,47.652,49.468,51.291,53.12,54.954,56.796,58.643,60.496,62.355,64.218,66.087,67.962,69.843,71.729,73.621,75.518,77.42,79.328,81.241,83.159,85.083,87.012
