Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) ,,,,,
 01/04  06:00:00,8371683.837,0,144965.52,197568,,,,,
 01/04  07:00:00,5626960.172,0,144965.52,197568,,,,,
 01/04  08:00:00,4358454.464,0,434896.56,197568,,,,,
 01/04  09:00:00,4534340.256,0,1304689.68,444528,,,,,
 01/04  10:00:00,3839195.065,0,1304689.68,444528,,,,,
 01/04  11:00:00,3388062.175,0,1304689.68,444528,,,,,
 01/04  12:00:00,3053079.125,0,1304689.68,444528,,,,,
 01/04  13:00:00,2016555.272,0,1304689.68,395136,,,,,
 01/04  14:00:00,2832723.67,0,1304689.68,444528,,,,,
 01/04  15:00:00,2907307.014,0,1304689.68,444528,,,,,
 01/04  16:00:00,3047925.292,0,1304689.68,444528,,,,,
 01/04  17:00:00,3196980.154,0,1304689.68,444528,,,,,
 01/04  18:00:00,3015706.586,0,1014758.64,395136,,,,,
 01/04  19:00:00,2804003.176,0,724827.6,296352,,,,,
 01/04  20:00:00,0,0,724827.6,296352,,,,,
 01/04  21:00:00,0,0,434896.56,246960,,,,,
 01/04  22:00:00,0,0,434896.56,246960,,,,,
 01/04  23:00:00,329732.5018,0,144965.52,197568,,,,,
 01/04  24:00:00,1034458.652,0,72482.76,197568,,,,,
 01/05  01:00:00,1306905.242,0,72482.76,197568,,,,,
 01/05  02:00:00,1608568.891,0,72482.76,197568,,,,,
 01/05  03:00:00,1803156.999,0,72482.76,197568,,,,,
 01/05  04:00:00,1923452.4,0,72482.76,197568,,,,,
 01/05  05:00:00,2037812.531,0,72482.76,197568,,,,,
 01/05  06:00:00,8739379.035,0,144965.52,197568,,,,,
 01/05  07:00:00,6007109.013,0,144965.52,197568,,,,,
 01/05  08:00:00,4785559.694,0,434896.56,197568,,,,,
 01/05  09:00:00,5172199.509,0,1304689.68,444528,,,,,
 01/05  10:00:00,4118850.515,0,1304689.68,444528,,,,,
 01/05  11:00:00,2745467.111,0,1304689.68,444528,,,,,
 01/05  12:00:00,1350641.94,0,1304689.68,444528,,,,,
 01/05  13:00:00,0,0,1304689.68,395136,,,,,
 01/05  14:00:00,0,0,1304689.68,444528,,,,,
 01/05  15:00:00,0,0,1304689.68,444528,,,,,
 01/05  16:00:00,0,0,1304689.68,444528,,,,,
 01/05  17:00:00,1141377.681,0,1304689.68,444528,,,,,
 01/05  18:00:00,2293218.796,0,1014758.64,395136,,,,,
 01/05  19:00:00,2564217.512,0,724827.6,296352,,,,,
 01/05  20:00:00,0,0,724827.6,296352,,,,,
 01/05  21:00:00,0,0,434896.56,246960,,,,,
 01/05  22:00:00,260877.0869,0,434896.56,246960,,,,,
 01/05  23:00:00,1344895.985,0,144965.52,197568,,,,,
 01/05  24:00:00,1817372.84,0,72482.76,197568,,,,,
 01/06  01:00:00,2134625.384,0,72482.76,148176,,,,,
 01/06  02:00:00,2357189.916,0,72482.76,148176,,,,,
 01/06  03:00:00,2454164.215,0,72482.76,148176,,,,,
 01/06  04:00:00,2478639.175,0,72482.76,148176,,,,,
 01/06  05:00:00,2473663.513,0,72482.76,148176,,,,,
 01/06  06:00:00,2459973.649,0,72482.76,148176,,,,,
 01/06  07:00:00,9284257.153,0,144965.52,197568,,,,,
 01/06  08:00:00,6058373.705,0,144965.52,197568,,,,,
 01/06  09:00:00,5236755.797,0,724827.6,246960,,,,,
 01/06  10:00:00,4468287.653,0,724827.6,246960,,,,,
 01/06  11:00:00,3953159.006,0,724827.6,246960,,,,,
 01/06  12:00:00,3470249.669,0,724827.6,246960,,,,,
 01/06  13:00:00,3030248.339,0,724827.6,246960,,,,,
 01/06  14:00:00,2787243.272,0,724827.6,246960,,,,,
 01/06  15:00:00,2285397.358,0,217448.28,172872,,,,,
 01/06  16:00:00,2467956.788,0,217448.28,172872,,,,,
 01/06  17:00:00,2740811.103,0,217448.28,172872,,,,,
 01/06  18:00:00,0,0,72482.76,148176,,,,,
 01/06  19:00:00,0,0,72482.76,148176,,,,,
 01/06  20:00:00,283199.888,0,72482.76,148176,,,,,
 01/06  21:00:00,1213251.435,0,72482.76,148176,,,,,
 01/06  22:00:00,1714030.937,0,72482.76,148176,,,,,
 01/06  23:00:00,2082267.153,0,72482.76,148176,,,,,
 01/06  24:00:00,2222135.656,0,72482.76,148176,,,,,
 01/07  01:00:00,2241639.723,0,72482.76,148176,,,,,
 01/07  02:00:00,2239636.077,0,72482.76,148176,,,,,
 01/07  03:00:00,2246986.077,0,72482.76,148176,,,,,
 01/07  04:00:00,2244840.614,0,72482.76,148176,,,,,
 01/07  05:00:00,2280613.088,0,72482.76,148176,,,,,
 01/07  06:00:00,2361898.213,0,72482.76,148176,,,,,
 01/07  07:00:00,2450084.425,0,72482.76,148176,,,,,
 01/07  08:00:00,2444596.71,0,72482.76,148176,,,,,
 01/07  09:00:00,2365465.362,0,72482.76,148176,,,,,
 01/07  10:00:00,2243028.61,0,72482.76,148176,,,,,
 01/07  11:00:00,2089178.698,0,72482.76,148176,,,,,
 01/07  12:00:00,1922173.712,0,72482.76,148176,,,,,
 01/07  13:00:00,2034297.222,0,72482.76,148176,,,,,
 01/07  14:00:00,2014091.643,0,72482.76,148176,,,,,
 01/07  15:00:00,1784531.263,0,72482.76,148176,,,,,
 01/07  16:00:00,1981247.359,0,72482.76,148176,,,,,
 01/07  17:00:00,2052476.346,0,72482.76,148176,,,,,
 01/07  18:00:00,1884851.501,0,72482.76,148176,,,,,
 01/07  19:00:00,2052069.634,0,72482.76,148176,,,,,
 01/07  20:00:00,2065005.31,0,72482.76,148176,,,,,
 01/07  21:00:00,1856439.691,0,72482.76,148176,,,,,
 01/07  22:00:00,1766915.821,0,72482.76,148176,,,,,
 01/07  23:00:00,1717406.731,0,72482.76,148176,,,,,
 01/07  24:00:00,1692115.982,0,72482.76,148176,,,,,
 01/08  01:00:00,1847116.743,0,72482.76,197568,,,,,
 01/08  02:00:00,1908881.52,0,72482.76,197568,,,,,
 01/08  03:00:00,1779832.689,0,72482.76,197568,,,,,
 01/08  04:00:00,1770712.885,0,72482.76,197568,,,,,
 01/08  05:00:00,1797062.614,0,72482.76,197568,,,,,
 01/08  06:00:00,8341255.905,0,144965.52,197568,,,,,
 01/08  07:00:00,5529762.188,0,144965.52,197568,,,,,
 01/08  08:00:00,4249022.719,0,434896.56,197568,,,,,
 01/08  09:00:00,4361573.596,0,1304689.68,444528,,,,,
 01/08  10:00:00,3703378.609,0,1304689.68,444528,,,,,
 01/08  11:00:00,3336294.373,0,1304689.68,444528,,,,,
 01/08  12:00:00,3157522.107,0,1304689.68,444528,,,,,
 01/08  13:00:00,2624396.062,0,1304689.68,395136,,,,,
 01/08  14:00:00,3209803.824,0,1304689.68,444528,,,,,
 01/08  15:00:00,2219643.228,0,1304689.68,444528,,,,,
 01/08  16:00:00,1524830.994,0,1304689.68,444528,,,,,
 01/08  17:00:00,2031496.955,0,1304689.68,444528,,,,,
 01/08  18:00:00,2357947.847,0,1014758.64,395136,,,,,
 01/08  19:00:00,2318359.979,0,724827.6,296352,,,,,
 01/08  20:00:00,0,0,724827.6,296352,,,,,
 01/08  21:00:00,0,0,434896.56,246960,,,,,
 01/08  22:00:00,0,0,434896.56,246960,,,,,
 01/08  23:00:00,456274.4539,0,144965.52,197568,,,,,
 01/08  24:00:00,1218973.164,0,72482.76,197568,,,,,
 01/09  01:00:00,1531755.643,0,72482.76,197568,,,,,
 01/09  02:00:00,1906404.465,0,72482.76,197568,,,,,
 01/09  03:00:00,2187296.494,0,72482.76,197568,,,,,
 01/09  04:00:00,2394489.29,0,72482.76,197568,,,,,
 01/09  05:00:00,2505856.951,0,72482.76,197568,,,,,
 01/09  06:00:00,9209308.397,0,144965.52,197568,,,,,
 01/09  07:00:00,6311169.034,0,144965.52,197568,,,,,
 01/09  08:00:00,5100108.345,0,434896.56,197568,,,,,
 01/09  09:00:00,5848532.427,0,1304689.68,444528,,,,,
 01/09  10:00:00,5002994.493,0,1304689.68,444528,,,,,
 01/09  11:00:00,3898372.519,0,1304689.68,444528,,,,,
 01/09  12:00:00,3052318.476,0,1304689.68,444528,,,,,
 01/09  13:00:00,1871067.115,0,1304689.68,395136,,,,,
 01/09  14:00:00,2910667.404,0,1304689.68,444528,,,,,
 01/09  15:00:00,2926086.951,0,1304689.68,444528,,,,,
 01/09  16:00:00,2950591.984,0,1304689.68,444528,,,,,
 01/09  17:00:00,3076237.437,0,1304689.68,444528,,,,,
 01/09  18:00:00,2928895.033,0,1014758.64,395136,,,,,
 01/09  19:00:00,2781867.186,0,724827.6,296352,,,,,
 01/09  20:00:00,0,0,724827.6,296352,,,,,
 01/09  21:00:00,0,0,434896.56,246960,,,,,
 01/09  22:00:00,52279.76339,0,434896.56,246960,,,,,
 01/09  23:00:00,1006105.184,0,144965.52,197568,,,,,
 01/09  24:00:00,1643935.265,0,72482.76,197568,,,,,
 01/10  01:00:00,2067852.488,0,72482.76,197568,,,,,
 01/10  02:00:00,2355936.055,0,72482.76,197568,,,,,
 01/10  03:00:00,2424883.354,0,72482.76,197568,,,,,
 01/10  04:00:00,2401642.563,0,72482.76,197568,,,,,
 01/10  05:00:00,2387789.935,0,72482.76,197568,,,,,
 01/10  06:00:00,9053125.682,0,144965.52,197568,,,,,
 01/10  07:00:00,6134739.361,0,144965.52,197568,,,,,
 01/10  08:00:00,4814294.832,0,434896.56,197568,,,,,
 01/10  09:00:00,5091774.989,0,1304689.68,444528,,,,,
 01/10  10:00:00,3935354.939,0,1304689.68,444528,,,,,
 01/10  11:00:00,2383867.233,0,1304689.68,444528,,,,,
 01/10  12:00:00,399027.4184,0,1304689.68,444528,,,,,
 01/10  13:00:00,0,0,1304689.68,395136,,,,,
 01/10  14:00:00,0,0,1304689.68,444528,,,,,
 01/10  15:00:00,0,0,1304689.68,444528,,,,,
 01/10  16:00:00,0,0,1304689.68,444528,,,,,
 01/10  17:00:00,115301.5942,0,1304689.68,444528,,,,,
 01/10  18:00:00,1560555.405,0,1014758.64,395136,,,,,
 01/10  19:00:00,2416262.121,0,724827.6,296352,,,,,
 01/10  20:00:00,0,0,724827.6,296352,,,,,
 01/10  21:00:00,0,0,434896.56,246960,,,,,
 01/10  22:00:00,129953.0791,0,434896.56,246960,,,,,
 01/10  23:00:00,1230814.277,0,144965.52,197568,,,,,
 01/10  24:00:00,1842010.442,0,72482.76,197568,,,,,
 01/11  01:00:00,2252004.257,0,72482.76,197568,,,,,
 01/11  02:00:00,2576486.736,0,72482.76,197568,,,,,
 01/11  03:00:00,2691727.43,0,72482.76,197568,,,,,
 01/11  04:00:00,2676635.832,0,72482.76,197568,,,,,
 01/11  05:00:00,2701742.944,0,72482.76,197568,,,,,
 01/11  06:00:00,9496661.406,0,144965.52,197568,,,,,
 01/11  07:00:00,6648945.465,0,144965.52,197568,,,,,
 01/11  08:00:00,5444085.724,0,434896.56,197568,,,,,
 01/11  09:00:00,6257845.874,0,1304689.68,444528,,,,,
 01/11  10:00:00,5350003.625,0,1304689.68,444528,,,,,
 01/11  11:00:00,4305340.397,0,1304689.68,444528,,,,,
 01/11  12:00:00,2784849.973,0,1304689.68,444528,,,,,
 01/11  13:00:00,153685.1299,0,1304689.68,395136,,,,,
 01/11  14:00:00,27774.93084,0,1304689.68,444528,,,,,
 01/11  15:00:00,0,0,1304689.68,444528,,,,,
 01/11  16:00:00,135971.1983,0,1304689.68,444528,,,,,
 01/11  17:00:00,1782520.633,0,1304689.68,444528,,,,,
 01/11  18:00:00,2843421.049,0,1014758.64,395136,,,,,
 01/11  19:00:00,3036337.067,0,724827.6,296352,,,,,
 01/11  20:00:00,0,0,724827.6,296352,,,,,
 01/11  21:00:00,0,0,434896.56,246960,,,,,
 01/11  22:00:00,568242.0236,0,434896.56,246960,,,,,
 01/11  23:00:00,1558709.338,0,144965.52,197568,,,,,
 01/11  24:00:00,2018869.565,0,72482.76,197568,,,,,
 01/12  01:00:00,2302943.019,0,72482.76,197568,,,,,
 01/12  02:00:00,2474571.333,0,72482.76,197568,,,,,
 01/12  03:00:00,2496973.127,0,72482.76,197568,,,,,
 01/12  04:00:00,2453784.985,0,72482.76,197568,,,,,
 01/12  05:00:00,2421949.095,0,72482.76,197568,,,,,
 01/12  06:00:00,9036883.22,0,144965.52,197568,,,,,
 01/12  07:00:00,6589744.345,0,144965.52,197568,,,,,
 01/12  08:00:00,5369833.617,0,434896.56,197568,,,,,
 01/12  09:00:00,5349866.858,0,1304689.68,444528,,,,,
 01/12  10:00:00,4609505.101,0,1304689.68,444528,,,,,
 01/12  11:00:00,4112433.48,0,1304689.68,444528,,,,,
 01/12  12:00:00,3730634.848,0,1304689.68,444528,,,,,
 01/12  13:00:00,2934494.281,0,1304689.68,395136,,,,,
 01/12  14:00:00,3680256.249,0,1304689.68,444528,,,,,
 01/12  15:00:00,3202386.879,0,1304689.68,444528,,,,,
 01/12  16:00:00,3019925.197,0,1304689.68,444528,,,,,
 01/12  17:00:00,3099649.129,0,1304689.68,444528,,,,,
 01/12  18:00:00,3005457.853,0,1014758.64,395136,,,,,
 01/12  19:00:00,2873279.165,0,724827.6,296352,,,,,
 01/12  20:00:00,0,0,724827.6,296352,,,,,
 01/12  21:00:00,0,0,434896.56,246960,,,,,
 01/12  22:00:00,0,0,434896.56,246960,,,,,
 01/12  23:00:00,635120.6245,0,144965.52,197568,,,,,
 01/12  24:00:00,1246461.63,0,72482.76,197568,,,,,
 01/13  01:00:00,1563630.544,0,72482.76,148176,,,,,
 01/13  02:00:00,1971025.229,0,72482.76,148176,,,,,
 01/13  03:00:00,2360214.338,0,72482.76,148176,,,,,
 01/13  04:00:00,2697996.322,0,72482.76,148176,,,,,
 01/13  05:00:00,2859256.12,0,72482.76,148176,,,,,
 01/13  06:00:00,2893128.15,0,72482.76,148176,,,,,
 01/13  07:00:00,9867768.263,0,144965.52,197568,,,,,
 01/13  08:00:00,6522352.373,0,144965.52,197568,,,,,
 01/13  09:00:00,5674796.486,0,724827.6,246960,,,,,
 01/13  10:00:00,4739835.897,0,724827.6,246960,,,,,
 01/13  11:00:00,4193113.465,0,724827.6,246960,,,,,
 01/13  12:00:00,3845086.934,0,724827.6,246960,,,,,
 01/13  13:00:00,3580656.8,0,724827.6,246960,,,,,
 01/13  14:00:00,3475465.797,0,724827.6,246960,,,,,
 01/13  15:00:00,2955069.435,0,217448.28,172872,,,,,
 01/13  16:00:00,3152239.083,0,217448.28,172872,,,,,
 01/13  17:00:00,3261917.893,0,217448.28,172872,,,,,
 01/13  18:00:00,0,0,72482.76,148176,,,,,
 01/13  19:00:00,0,0,72482.76,148176,,,,,
 01/13  20:00:00,199911.2601,0,72482.76,148176,,,,,
 01/13  21:00:00,919359.2979,0,72482.76,148176,,,,,
 01/13  22:00:00,1452408.507,0,72482.76,148176,,,,,
 01/13  23:00:00,1773097.045,0,72482.76,148176,,,,,
 01/13  24:00:00,1734753.868,0,72482.76,148176,,,,,
 01/14  01:00:00,1720962.44,0,72482.76,148176,,,,,
 01/14  02:00:00,1680301.947,0,72482.76,148176,,,,,
 01/14  03:00:00,1619822.403,0,72482.76,148176,,,,,
 01/14  04:00:00,1748532.986,0,72482.76,148176,,,,,
 01/14  05:00:00,1744868.856,0,72482.76,148176,,,,,
 01/14  06:00:00,1559611.001,0,72482.76,148176,,,,,
 01/14  07:00:00,1640182.243,0,72482.76,148176,,,,,
 01/14  08:00:00,1584351.376,0,72482.76,148176,,,,,
 01/14  09:00:00,1325309.618,0,72482.76,148176,,,,,
 01/14  10:00:00,1133084.612,0,72482.76,148176,,,,,
 01/14  11:00:00,933200.0622,0,72482.76,148176,,,,,
 01/14  12:00:00,732202.5012,0,72482.76,148176,,,,,
 01/14  13:00:00,544567.8236,0,72482.76,148176,,,,,
 01/14  14:00:00,419965.3653,0,72482.76,148176,,,,,
 01/14  15:00:00,362181.991,0,72482.76,148176,,,,,
 01/14  16:00:00,335768.4684,0,72482.76,148176,,,,,
 01/14  17:00:00,433217.6141,0,72482.76,148176,,,,,
 01/14  18:00:00,636165.9522,0,72482.76,148176,,,,,
 01/14  19:00:00,1015552.465,0,72482.76,148176,,,,,
 01/14  20:00:00,1171076.046,0,72482.76,148176,,,,,
 01/14  21:00:00,1064449.958,0,72482.76,148176,,,,,
 01/14  22:00:00,1154818.26,0,72482.76,148176,,,,,
 01/14  23:00:00,1271854.118,0,72482.76,148176,,,,,
 01/14  24:00:00,1301587.469,0,72482.76,148176,,,,,
 01/15  01:00:00,1413796.518,0,72482.76,197568,,,,,
 01/15  02:00:00,1460573.59,0,72482.76,197568,,,,,
 01/15  03:00:00,1435139.053,0,72482.76,197568,,,,,
 01/15  04:00:00,1392461.301,0,72482.76,197568,,,,,
 01/15  05:00:00,1372738.905,0,72482.76,197568,,,,,
 01/15  06:00:00,7768967.926,0,144965.52,197568,,,,,
 01/15  07:00:00,4963764.671,0,144965.52,197568,,,,,
 01/15  08:00:00,3704977.853,0,434896.56,197568,,,,,
 01/15  09:00:00,3740664.913,0,1304689.68,444528,,,,,
 01/15  10:00:00,3299230.406,0,1304689.68,444528,,,,,
 01/15  11:00:00,2946119.105,0,1304689.68,444528,,,,,
 01/15  12:00:00,2622975.171,0,1304689.68,444528,,,,,
 01/15  13:00:00,1727551.822,0,1304689.68,395136,,,,,
 01/15  14:00:00,2435291.829,0,1304689.68,444528,,,,,
 01/15  15:00:00,2567544.064,0,1304689.68,444528,,,,,
 01/15  16:00:00,3109291.059,0,1304689.68,444528,,,,,
 01/15  17:00:00,3402554.778,0,1304689.68,444528,,,,,
 01/15  18:00:00,3048991.918,0,1014758.64,395136,,,,,
 01/15  19:00:00,2854705.607,0,724827.6,296352,,,,,
 01/15  20:00:00,0,0,724827.6,296352,,,,,
 01/15  21:00:00,0,0,434896.56,246960,,,,,
 01/15  22:00:00,0,0,434896.56,246960,,,,,
 01/15  23:00:00,114911.6773,0,144965.52,197568,,,,,
 01/15  24:00:00,766415.4218,0,72482.76,197568,,,,,
 01/16  01:00:00,1050477.307,0,72482.76,197568,,,,,
 01/16  02:00:00,1302496.968,0,72482.76,197568,,,,,
 01/16  03:00:00,1470854.743,0,72482.76,197568,,,,,
 01/16  04:00:00,1560707.931,0,72482.76,197568,,,,,
 01/16  05:00:00,1602093.2,0,72482.76,197568,,,,,
 01/16  06:00:00,8054062.747,0,144965.52,197568,,,,,
 01/16  07:00:00,5198591.002,0,144965.52,197568,,,,,
 01/16  08:00:00,3890855.13,0,434896.56,197568,,,,,
 01/16  09:00:00,3933720.414,0,1304689.68,444528,,,,,
 01/16  10:00:00,3803731.259,0,1304689.68,444528,,,,,
 01/16  11:00:00,3458293.325,0,1304689.68,444528,,,,,
 01/16  12:00:00,2695605.719,0,1304689.68,444528,,,,,
 01/16  13:00:00,1586693.18,0,1304689.68,395136,,,,,
 01/16  14:00:00,2026779.445,0,1304689.68,444528,,,,,
 01/16  15:00:00,1808804.346,0,1304689.68,444528,,,,,
 01/16  16:00:00,1617373.599,0,1304689.68,444528,,,,,
 01/16  17:00:00,1766505.85,0,1304689.68,444528,,,,,
 01/16  18:00:00,1824324.403,0,1014758.64,395136,,,,,
 01/16  19:00:00,1766499.612,0,724827.6,296352,,,,,
 01/16  20:00:00,0,0,724827.6,296352,,,,,
 01/16  21:00:00,0,0,434896.56,246960,,,,,
 01/16  22:00:00,0,0,434896.56,246960,,,,,
 01/16  23:00:00,0,0,144965.52,197568,,,,,
 01/16  24:00:00,0,0,72482.76,197568,,,,,
 01/17  01:00:00,98260.1526,0,72482.76,197568,,,,,
 01/17  02:00:00,467699.7777,0,72482.76,197568,,,,,
 01/17  03:00:00,623318.7281,0,72482.76,197568,,,,,
 01/17  04:00:00,751637.1193,0,72482.76,197568,,,,,
 01/17  05:00:00,910667.7238,0,72482.76,197568,,,,,
 01/17  06:00:00,7279857.474,0,144965.52,197568,,,,,
 01/17  07:00:00,5194784.091,0,144965.52,197568,,,,,
 01/17  08:00:00,4026234.578,0,434896.56,197568,,,,,
 01/17  09:00:00,3336153.923,0,1304689.68,444528,,,,,
 01/17  10:00:00,2898904.079,0,1304689.68,444528,,,,,
 01/17  11:00:00,2599808.836,0,1304689.68,444528,,,,,
 01/17  12:00:00,2141495.694,0,1304689.68,444528,,,,,
 01/17  13:00:00,1734722.166,0,1304689.68,395136,,,,,
 01/17  14:00:00,2227397.184,0,1304689.68,444528,,,,,
 01/17  15:00:00,1876223.992,0,1304689.68,444528,,,,,
 01/17  16:00:00,2022344.411,0,1304689.68,444528,,,,,
 01/17  17:00:00,2088195.432,0,1304689.68,444528,,,,,
 01/17  18:00:00,1830091.923,0,1014758.64,395136,,,,,
 01/17  19:00:00,1753566.739,0,724827.6,296352,,,,,
 01/17  20:00:00,0,0,724827.6,296352,,,,,
 01/17  21:00:00,0,0,434896.56,246960,,,,,
 01/17  22:00:00,0,0,434896.56,246960,,,,,
 01/17  23:00:00,0,0,144965.52,197568,,,,,
 01/17  24:00:00,26681.66648,0,72482.76,197568,,,,,
 01/18  01:00:00,569434.692,0,72482.76,197568,,,,,
 01/18  02:00:00,970341.4467,0,72482.76,197568,,,,,
 01/18  03:00:00,1246662.506,0,72482.76,197568,,,,,
 01/18  04:00:00,1477247.462,0,72482.76,197568,,,,,
 01/18  05:00:00,1704806.22,0,72482.76,197568,,,,,
 01/18  06:00:00,8415549.802,0,144965.52,197568,,,,,
 01/18  07:00:00,5852999.86,0,144965.52,197568,,,,,
 01/18  08:00:00,4668250.529,0,434896.56,197568,,,,,
 01/18  09:00:00,4900968.195,0,1304689.68,444528,,,,,
 01/18  10:00:00,3706888.335,0,1304689.68,444528,,,,,
 01/18  11:00:00,1961157.826,0,1304689.68,444528,,,,,
 01/18  12:00:00,134013.2014,0,1304689.68,444528,,,,,
 01/18  13:00:00,0,0,1304689.68,395136,,,,,
 01/18  14:00:00,0,0,1304689.68,444528,,,,,
 01/18  15:00:00,0,0,1304689.68,444528,,,,,
 01/18  16:00:00,0,0,1304689.68,444528,,,,,
 01/18  17:00:00,0,0,1304689.68,444528,,,,,
 01/18  18:00:00,746300.9545,0,1014758.64,395136,,,,,
 01/18  19:00:00,1849845.507,0,724827.6,296352,,,,,
 01/18  20:00:00,0,0,724827.6,296352,,,,,
 01/18  21:00:00,0,0,434896.56,246960,,,,,
 01/18  22:00:00,0,0,434896.56,246960,,,,,
 01/18  23:00:00,398417.8499,0,144965.52,197568,,,,,
 01/18  24:00:00,1321959.43,0,72482.76,197568,,,,,
 01/19  01:00:00,1736144.428,0,72482.76,197568,,,,,
 01/19  02:00:00,2159641.207,0,72482.76,197568,,,,,
 01/19  03:00:00,2437093.316,0,72482.76,197568,,,,,
 01/19  04:00:00,2614745.838,0,72482.76,197568,,,,,
