Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) ,,,,,
 01/01  01:00:00,1927691,0,72482.76,197568,,,,9157774731,9157774731
 01/01  02:00:00,2284037,0,72482.76,197568,,,,,
 01/01  03:00:00,2408561,0,72482.76,197568,,,,,
 01/01  04:00:00,2476425,0,72482.76,197568,,,,,
 01/01  05:00:00,2526909,0,72482.76,197568,,,,,
 01/01  06:00:00,9255049,0,144965.52,197568,,,,,
 01/01  07:00:00,6361475,0,144965.52,197568,,,,,
 01/01  08:00:00,5086358,0,434896.56,197568,,,,,
 01/01  09:00:00,5586653,0,1304689.68,444528,,,,,
 01/01  10:00:00,4498076,0,1304689.68,444528,,,,,
 01/01  11:00:00,3233609,0,1304689.68,444528,,,,,
 01/01  12:00:00,2542617,0,1304689.68,444528,,,,,
 01/01  13:00:00,1796125,0,1304689.68,395136,,,,,
 01/01  14:00:00,3032213,0,1304689.68,444528,,,,,
 01/01  15:00:00,3135329,0,1304689.68,444528,,,,,
 01/01  16:00:00,3167493,0,1304689.68,444528,,,,,
 01/01  17:00:00,3305927,0,1304689.68,444528,,,,,
 01/01  18:00:00,3157974,0,1014758.64,395136,,,,,
 01/01  19:00:00,2958303,0,724827.6,296352,,,,,
 01/01  20:00:00,0,0,724827.6,296352,,,,,
 01/01  21:00:00,0,0,434896.56,246960,,,,,
 01/01  22:00:00,46814,0,434896.56,246960,,,,,
 01/01  23:00:00,921958,0,144965.52,197568,,,,,
 01/01  24:00:00,1478885,0,72482.76,197568,,,,,
 01/02  01:00:00,1801069,0,72482.76,197568,,,,,
 01/02  02:00:00,2106396,0,72482.76,197568,,,,,
 01/02  03:00:00,2288165,0,72482.76,197568,,,,,
 01/02  04:00:00,2399674,0,72482.76,197568,,,,,
 01/02  05:00:00,2508886,0,72482.76,197568,,,,,
 01/02  06:00:00,9298221,0,144965.52,197568,,,,,
 01/02  07:00:00,6512170,0,144965.52,197568,,,,,
 01/02  08:00:00,5269506,0,434896.56,197568,,,,,
 01/02  09:00:00,5855376,0,1304689.68,444528,,,,,
 01/02  10:00:00,4870923.328,0,1304689.68,444528,,,,,
 01/02  11:00:00,3756719.858,0,1304689.68,444528,,,,,
 01/02  12:00:00,2367344.066,0,1304689.68,444528,,,,,
 01/02  13:00:00,165209.9178,0,1304689.68,395136,,,,,
 01/02  14:00:00,0,0,1304689.68,444528,,,,,
 01/02  15:00:00,0,0,1304689.68,444528,,,,,
 01/02  16:00:00,0,0,1304689.68,444528,,,,,
 01/02  17:00:00,776067.3686,0,1304689.68,444528,,,,,
 01/02  18:00:00,1978838.866,0,1014758.64,395136,,,,,
 01/02  19:00:00,2287852.62,0,724827.6,296352,,,,,
 01/02  20:00:00,0,0,724827.6,296352,,,,,
 01/02  21:00:00,0,0,434896.56,246960,,,,,
 01/02  22:00:00,0,0,434896.56,246960,,,,,
 01/02  23:00:00,554612.5755,0,144965.52,197568,,,,,
 01/02  24:00:00,1178666.047,0,72482.76,197568,,,,,
 01/03  01:00:00,1388199.776,0,72482.76,197568,,,,,
 01/03  02:00:00,1623250.626,0,72482.76,197568,,,,,
 01/03  03:00:00,1770837.548,0,72482.76,197568,,,,,
 01/03  04:00:00,1844983.921,0,72482.76,197568,,,,,
 01/03  05:00:00,1854842.648,0,72482.76,197568,,,,,
 01/03  06:00:00,8344906.369,0,144965.52,197568,,,,,
 01/03  07:00:00,5405691.28,0,144965.52,197568,,,,,
 01/03  08:00:00,3962645.293,0,434896.56,197568,,,,,
 01/03  09:00:00,3671880.237,0,1304689.68,444528,,,,,
 01/03  10:00:00,2810778.044,0,1304689.68,444528,,,,,
 01/03  11:00:00,2205913.163,0,1304689.68,444528,,,,,
 01/03  12:00:00,1767302.922,0,1304689.68,444528,,,,,
 01/03  13:00:00,1339972.491,0,1304689.68,395136,,,,,
 01/03  14:00:00,1846962.312,0,1304689.68,444528,,,,,
 01/03  15:00:00,1786308.168,0,1304689.68,444528,,,,,
 01/03  16:00:00,2245147.128,0,1304689.68,444528,,,,,
 01/03  17:00:00,2438010.275,0,1304689.68,444528,,,,,
 01/03  18:00:00,2130781.997,0,1014758.64,395136,,,,,
 01/03  19:00:00,1995563.737,0,724827.6,296352,,,,,
 01/03  20:00:00,0,0,724827.6,296352,,,,,
 01/03  21:00:00,0,0,434896.56,246960,,,,,
 01/03  22:00:00,0,0,434896.56,246960,,,,,
 01/03  23:00:00,0,0,144965.52,197568,,,,,
 01/03  24:00:00,141714.4734,0,72482.76,197568,,,,,
 01/04  01:00:00,959287.2354,0,72482.76,197568,,,,,
 01/04  02:00:00,1376634.143,0,72482.76,197568,,,,,
 01/04  03:00:00,1478900.752,0,72482.76,197568,,,,,
 01/04  04:00:00,1648430.295,0,72482.76,197568,,,,,
 01/04  05:00:00,1780067.324,0,72482.76,197568,,,,,
