HOY,Altitude,Azimuth
9.0,5.29175333597,132.996105178
10.0,11.9278087783,145.236659526
11.0,16.7046928569,158.600675834
12.0,19.2085619063,172.867735536
13.0,19.1811028238,187.480987071
14.0,16.6253643202,201.734362219
15.0,11.8043998874,215.077085935
16.0,5.13399522903,227.296488193
33.0,5.30506186446,132.858938258
34.0,11.9596647156,145.100060395
35.0,16.7578391860,158.468205182
36.0,19.2838722923,172.745625044
37.0,19.2768528408,187.375937676
38.0,16.7375931078,201.650487537
39.0,11.9282822607,215.014527835
40.0,5.26520380036,227.252447743
57.0,5.32529931723,132.718662401
58.0,11.9987653546,144.961257251
59.0,16.8184566636,158.334694593
60.0,19.3666994650,172.623875437
61.0,19.3799227376,187.272734071
62.0,16.8567134751,201.569807377
63.0,12.0584796810,214.956229910
64.0,5.40211043522,227.213447198
81.0,5.35248166415,132.575379089
82.0,12.0451109287,144.820347817
83.0,16.8865293553,158.200238553
84.0,19.4570111947,172.502578665
85.0,19.4902640363,187.171465528
86.0,16.9826613499,201.492405853
87.0,12.1949143821,214.902267047
88.0,5.54462672073,227.179548877
105.0,5.38662124150,132.429190266
106.0,12.0986980810,144.677429657
107.0,16.9620378561,158.064930950
108.0,19.5547719428,172.381825837
109.0,19.6078251236,187.072220277
110.0,17.1153697314,201.418365701
111.0,12.3375059657,214.852712215
112.0,5.69266202742,227.150812529
129.0,5.42772673896,132.280198208
130.0,12.1595198733,144.532600067
131.0,17.0449593178,157.928864991
132.0,19.6599429048,172.261707137
133.0,19.7325513078,186.975085439
134.0,17.2547687601,201.347768220
135.0,12.4861714842,214.807636417
136.0,5.84612360479,227.127295291
153.0,5.47580318973,132.128505398
154.0,12.2275657972,144.385955964
155.0,17.1352674793,157.792133095
156.0,19.7724820559,172.142311745
157.0,19.8643848776,186.880146956
158.0,17.4007857898,201.280693212
159.0,12.6408255264,214.767108636
160.0,6.00491667934,227.109051657
177.0,5.53085196357,131.974214384
178.0,12.3028217890,144.237593766
179.0,17.2329326990,157.654826805
180.0,19.8923442001,172.023727756
181.0,20.0032651654,186.787489528
182.0,17.5533454632,201.217218928
183.0,12.8013803053,214.731195793
184.0,6.16894455489,227.096133441
201.0,5.59287076284,131.817427653
202.0,12.3852702465,144.087609281
203.0,17.3379219914,157.517036678
204.0,20.0194810214,171.906042095
205.0,20.1491286118,186.697196539
206.0,17.7123697896,201.157422009
207.0,12.9677457495,214.699962695
208.0,6.33810871506,227.088589748
225.0,5.66185362144,131.658247488
226.0,12.4748900497,143.936097585
227.0,17.4501990649,157.378852195
228.0,20.1538411387,171.789340436
229.0,20.3019088339,186.609349996
230.0,17.8777782258,201.101377430
231.0,13.1398295959,214.673471992
232.0,6.51230892761,227.086466944
249.0,5.73779090651,131.496775832
250.0,12.5716565830,143.783152906
251.0,17.5697243629,157.240361653
252.0,20.2953701613,171.673707121
253.0,20.4615366955,186.524030456
254.0,18.0494877588,201.049158444
255.0,13.3175374850,214.651784133
256.0,6.69144335042,227.089808628
273.0,5.82066932307,131.333114144
274.0,12.6755417603,143.628868502
275.0,17.6964551069,157.101652069
276.0,20.4440107488,171.559225070
277.0,20.6279403789,186.441316962
278.0,18.2274129901,201.000836525
279.0,13.5007730577,214.634957316
280.0,6.87540863894,227.098655601
297.0,5.91047192125,131.167363263
298.0,12.7865140529,143.473336542
299.0,17.8303453418,156.962809076
300.0,20.5997026709,171.445975708
301.0,20.8010454594,186.361286976
302.0,18.4114662231,200.956481315
303.0,13.6894380542,214.623047450
304.0,7.06410005486,227.113045846
321.0,6.00717810647,130.999623264
322.0,12.9045385188,143.316647987
323.0,17.9713459831,156.823916823
324.0,20.7623828708,171.334038871
325.0,20.9807749813,186.284016307
326.0,18.6015575503,200.916160568
327.0,13.8834324136,214.616108110
328.0,7.25741157564,227.133014497
345.0,6.11076365217,130.829993315
346.0,13.0295768352,143.158892467
347.0,18.1194048664,156.685057871
348.0,20.9319855285,171.223492732
349.0,21.1670495347,186.209579054
350.0,18.7975949435,200.879940097
351.0,14.0826543751,214.614190494
352.0,7.45523600486,227.158593821
369.0,6.22120071533,130.658571541
370.0,13.1615873326,143.000158168
371.0,18.2744667977,156.546313100
372.0,21.1084421273,171.114413716
373.0,21.3597873345,186.138047531
374.0,18.9994843440,200.847883719
375.0,14.2870005802,214.617343382
376.0,7.65746508296,227.189813191
393.0,6.33845785467,130.485454882
394.0,13.3005250306,142.840531709
395.0,18.4364736065,156.407761603
396.0,21.2916815205,171.006876417
397.0,21.5589043002,186.069492210
398.0,19.2071297540,200.820053203
399.0,14.4963661748,214.625613098
400.0,7.86398959813,227.226699066
417.0,6.46250005153,130.310738953
418.0,13.4463416768,142.680098027
419.0,18.6053641993,156.269480592
420.0,21.4816299990,170.900953524
421.0,21.7643141360,186.003981652
422.0,19.4204333292,200.796508221
423.0,14.7106449127,214.639043465
424.0,8.07469949728,227.269274970
441.0,6.59328873347,130.134517913
442.0,13.5989857866,142.518940265
443.0,18.7810746152,156.131545301
444.0,21.6782113613,170.796715736
445.0,21.9759284125,185.941582450
446.0,19.6392954706,200.777306291
447.0,14.9297292582,214.657675771
448.0,8.28948399655,227.317561473
449.0,0.197740526759,238.856931513
465.0,6.73078180051,129.956884327
466.0,13.7584026851,142.357139658
467.0,18.9635380824,155.994028891
468.0,21.8813469827,170.694231689
469.0,22.1936566479,185.882359162
470.0,19.8636149180,200.762502736
471.0,15.1535104899,214.681548731
472.0,8.50823169139,227.371576173
473.0,0.409725585653,238.933513492
489.0,6.87493365410,129.777929040
490.0,13.9245345517,142.194775424
491.0,19.1526850762,155.857002361
492.0,22.0909558862,170.593567883
493.0,22.4174063908,185.826374256
494.0,20.0932888426,200.752150628
495.0,15.3818788026,214.710698446
496.0,8.73083066572,227.431333678
497.0,0.624948103002,239.016091531
513.0,7.02569522876,129.597741044
514.0,14.0973204649,142.031924659
515.0,19.3484433779,155.720534456
516.0,22.3069548136,170.494788604
517.0,22.6470833018,185.773688052
518.0,20.3282129396,200.746300745
519.0,15.6147234105,214.745158372
520.0,8.95716860019,227.496845591
521.0,0.843298823832,239.104654826
537.0,7.18301402644,129.416407361
538.0,14.2766964506,141.868662232
539.0,19.5507381343,155.584691580
540.0,22.5292582972,170.397955859
541.0,22.8825912363,185.724358665
542.0,20.5682815206,200.745001524
543.0,15.8519326481,214.784959285
544.0,9.18713287902,227.568120495
545.0,1.06466879311,239.199189340
561.0,7.34683415357,129.234012922
562.0,14.4625955308,141.705060688
563.0,19.7594919192,155.449537717
564.0,22.7577787319,170.303129305
565.0,23.1238323263,185.678441951
566.0,20.8133876056,200.748299020
567.0,16.0933940712,214.830129247
568.0,9.42061069548,227.645163940
569.0,1.28894945888,239.299677826
585.0,7.51709636079,129.050640453
586.0,14.6549477747,141.541190154
587.0,19.9746247947,155.315134346
588.0,22.9924264473,170.210366186
589.0,23.3707070623,185.635991458
590.0,21.0634230140,200.756236862
591.0,16.3389945565,214.880693576
592.0,9.65748915553,227.727978432
593.0,1.51603277292,239.406099834
609.0,7.69373808537,128.866370364
610.0,14.8536803510,141.377118246
611.0,20.1960543737,155.181540368
612.0,23.2331097799,170.119721269
613.0,23.6231143751,185.597058378
614.0,21.3182784551,200.768856211
615.0,16.5886203994,214.936674818
616.0,9.89765537967,227.816563424
617.0,1.74581128871,239.518431736
633.0,7.87669349639,128.681280649
634.0,15.0587175824,141.212909985
635.0,20.4236958834,155.048812036
636.0,23.4797351458,170.031246791
637.0,23.8809517167,185.561691497
638.0,21.5778436175,200.786195729
639.0,16.8421574116,214.998092717
640.0,10.1409966025,227.910915306
641.0,1.97817825645,239.636646739
657.0,8.06589354245,128.495446788
658.0,15.2699810009,141.048627716
659.0,20.6574622294,154.917002880
660.0,23.7322071128,169.944992395
661.0,24.1441151404,185.529937157
662.0,21.8420072572,200.808291535
663.0,17.0994910154,215.064964189
664.0,10.3874002704,228.011027399
665.0,2.21302771505,239.760714910
681.0,8.26126600214,128.308941653
682.0,15.4873894056,140.884331033
683.0,20.8972640595,154.786163652
684.0,23.9904284732,169.861005090
685.0,24.4124993808,185.501839212
686.0,22.1106572849,200.835177180
687.0,17.3605063379,215.137303304
688.0,10.6367541359,228.116889955
689.0,2.45025458075,239.890603194
705.0,8.46273553705,128.121835424
706.0,15.7108589209,140.720076710
707.0,21.1430098299,154.656342260
708.0,24.2543003149,169.779329192
709.0,24.6859979324,185.477438994
710.0,22.3836808515,200.866883611
711.0,17.6250883019,215.215121257
712.0,10.8889463505,228.228490147
713.0,2.68975473234,240.026275442
728.0,0.0892963411161,116.443831600
729.0,8.67022374743,127.934195514
730.0,15.9403030571,140.555918635
731.0,21.3946058700,154.527583718
732.0,24.5237220942,169.700006289
733.0,24.9645031280,185.456775279
734.0,22.6609644325,200.903439145
735.0,17.8931217159,215.298426356
736.0,11.1438655538,228.345812079
737.0,2.93142509279,240.167692432
752.0,0.284073846543,116.238736890
753.0,8.88364923026,127.746086493
754.0,16.1756327721,140.391907752
755.0,21.6519564490,154.399930096
756.0,24.7985917069,169.623075199
757.0,25.2479062151,185.439884252
758.0,22.9423939106,200.944869444
759.0,18.1644913608,215.387224000
760.0,11.4014009604,228.468836779
761.0,3.17516370711,240.314811903
776.0,0.484754933535,116.032892562
777.0,9.10292763991,127.557570027
778.0,16.4167565341,140.228092013
779.0,21.9149638423,154.273420475
780.0,25.0788055591,169.548571931
781.0,25.5360974322,185.426799490
782.0,23.2278546569,200.991197492
783.0,18.4390820756,215.481516667
784.0,11.6614424432,228.597542211
785.0,3.42086981631,240.467588577
800.0,0.691259785232,115.826373894
801.0,9.32797175108,127.368704816
802.0,16.6635803864,140.064516326
803.0,22.1835283983,154.148090908
804.0,25.3642586385,169.476529661
805.0,25.8289660837,185.417551927
806.0,23.5172316103,201.042443574
807.0,18.7167788399,215.581303905
808.0,11.9238806138,228.731903279
809.0,3.66844392748,240.625974199
824.0,0.903505357769,115.619253165
825.0,9.55869152418,127.179546551
826.0,16.9160080125,139.901222518
827.0,22.4575486058,154.023974387
828.0,25.6548445841,169.406978698
829.0,26.1264006132,185.412169845
830.0,23.8104093548,201.098625263
831.0,18.9974668538,215.686582317
832.0,12.1886069000,228.871891834
833.0,3.91778787976,240.789917563
848.0,1.12140544939,115.411599601
849.0,9.79499417283,126.990147867
850.0,17.1739408030,139.738249303
851.0,22.7369211610,153.901100811
