0,MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
2588,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.3,0.0,0.44,0.48
2589,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.3,0.0,0.44,0.3
2590,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.12,0.0,0.44,0.3
2591,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.12,0.0,0.44,0.0
2592,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2593,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2594,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2595,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2596,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2597,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.3,0.0,0.44,0.0
2598,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.0
2599,0.48,0.48,0.368,0.16,0.16,0.16,0.0,0.6,0.12,0.68,0.3
2600,0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.6,0.24,0.68,0.48
2601,0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.48,0.48,0.76,0.6
2602,0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.6,0.48,0.84,0.6
2603,0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.3,0.24,0.84,0.48
2604,0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.48,0.12,0.76,0.0
2605,0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.6,0.24,0.76,0.48
2606,0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.6,0.48,0.84,0.6
2607,0.32,0.32,0.032,0.64,0.32,0.32,0.0,0.48,0.48,0.84,0.6
2608,0.48,0.48,0.032,0.32,0.48,0.48,0.0,0.48,0.12,0.68,0.48
2609,0.64,0.64,0.08,0.16,0.64,0.64,0.0,0.48,0.0,0.68,0.3
2610,0.64,0.64,0.08,0.0,0.48,0.48,0.184,0.3,0.0,0.48,0.48
2611,0.64,0.64,0.08,0.0,0.0,0.0,0.232,0.3,0.0,0.44,0.48
2612,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.3,0.0,0.44,0.48
2613,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.3,0.0,0.44,0.3
2614,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.12,0.0,0.44,0.3
2615,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.12,0.0,0.44,0.0
2616,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2617,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2618,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2619,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2620,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2621,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2622,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
2623,0.48,0.48,0.368,0.0,0.16,0.16,0.0,0.0,0.0,0.68,0.3
2624,0.32,0.32,0.08,0.0,0.32,0.32,0.184,0.0,0.0,0.68,0.48
2625,0.32,0.32,0.032,0.0,0.32,0.32,0.184,0.0,0.0,0.76,0.6
2626,0.32,0.32,0.032,0.0,0.32,0.32,0.184,0.0,0.0,0.84,0.6
2627,0.32,0.32,0.032,0.0,0.48,0.48,0.256,0.0,0.0,0.84,0.48
2628,0.48,0.48,0.032,0.0,0.48,0.48,0.664,0.0,0.0,0.76,0.0
2629,0.32,0.32,0.032,0.0,0.48,0.48,0.344,0.0,0.0,0.76,0.48
2630,0.32,0.32,0.032,0.0,0.32,0.32,0.048,0.0,0.0,0.84,0.6
2631,0.32,0.32,0.032,0.0,0.32,0.32,0.0,0.0,0.0,0.84,0.6
2632,0.48,0.48,0.032,0.0,0.48,0.48,0.0,0.0,0.0,0.68,0.48
2633,0.64,0.64,0.08,0.0,0.64,0.64,0.0,0.0,0.0,0.68,0.3
2634,0.64,0.64,0.08,0.0,0.48,0.48,0.184,0.0,0.0,0.48,0.48
2635,0.64,0.64,0.08,0.0,0.0,0.0,0.232,0.0,0.0,0.44,0.48
2636,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.0,0.0,0.44,0.48
2637,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.0,0.0,0.44,0.3
2638,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.0,0.0,0.44,0.3
2639,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.0,0.0,0.44,0.0
2640,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2641,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2642,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2643,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2644,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2645,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
2646,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
2647,0.48,0.48,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.3
2648,0.32,0.32,0.08,0.0,0.0,0.0,0.184,0.0,0.0,0.68,0.48
2649,0.32,0.32,0.032,0.0,0.0,0.0,0.184,0.0,0.0,0.76,0.6
2650,0.32,0.32,0.032,0.0,0.0,0.0,0.184,0.0,0.0,0.84,0.6
2651,0.32,0.32,0.032,0.0,0.0,0.0,0.256,0.0,0.0,0.84,0.48
2652,0.48,0.48,0.032,0.0,0.0,0.0,0.664,0.0,0.0,0.76,0.0
2653,0.32,0.32,0.032,0.0,0.0,0.0,0.344,0.0,0.0,0.76,0.48
2654,0.32,0.32,0.032,0.0,0.0,0.0,0.048,0.0,0.0,0.84,0.6
2655,0.32,0.32,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.6
2656,0.48,0.48,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.48
2657,0.64,0.64,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.3
2658,0.64,0.64,0.08,0.0,0.0,0.0,0.184,0.0,0.0,0.48,0.48
2659,0.64,0.64,0.08,0.0,0.0,0.0,0.232,0.0,0.0,0.44,0.48
2660,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.0,0.0,0.44,0.48
2661,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.0,0.0,0.44,0.3
2662,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.0,0.0,0.44,0.3
2663,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.0,0.0,0.44,0.0
2664,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2665,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2666,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2667,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2668,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2669,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.3,0.0,0.44,0.0
2670,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.0
2671,0.48,0.48,0.368,0.16,0.16,0.16,0.0,0.6,0.12,0.68,0.3
2672,0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.6,0.24,0.68,0.48
2673,0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.48,0.48,0.76,0.6
2674,0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.6,0.48,0.84,0.6
2675,0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.3,0.24,0.84,0.48
2676,0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.48,0.12,0.76,0.0
2677,0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.6,0.24,0.76,0.48
2678,0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.6,0.48,0.84,0.6
2679,0.32,0.32,0.032,0.64,0.32,0.32,0.0,0.48,0.48,0.84,0.6
2680,0.48,0.48,0.032,0.32,0.48,0.48,0.0,0.48,0.12,0.68,0.48
2681,0.64,0.64,0.08,0.16,0.64,0.64,0.0,0.48,0.0,0.68,0.3
2682,0.64,0.64,0.08,0.0,0.48,0.48,0.184,0.3,0.0,0.48,0.48
2683,0.64,0.64,0.08,0.0,0.0,0.0,0.232,0.3,0.0,0.44,0.48
2684,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.3,0.0,0.44,0.48
2685,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.3,0.0,0.44,0.3
2686,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.12,0.0,0.44,0.3
2687,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.12,0.0,0.44,0.0
2688,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2689,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2690,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2691,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2692,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2693,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.3,0.0,0.44,0.0
2694,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.0
2695,0.48,0.48,0.368,0.16,0.16,0.16,0.0,0.6,0.12,0.68,0.3
2696,0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.6,0.24,0.68,0.48
2697,0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.48,0.48,0.76,0.6
2698,0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.6,0.48,0.84,0.6
2699,0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.3,0.24,0.84,0.48
2700,0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.48,0.12,0.76,0.0
2701,0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.6,0.24,0.76,0.48
2702,0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.6,0.48,0.84,0.6
2703,0.32,0.32,0.032,0.64,0.32,0.32,0.0,0.48,0.48,0.84,0.6
2704,0.48,0.48,0.032,0.32,0.48,0.48,0.0,0.48,0.12,0.68,0.48
2705,0.64,0.64,0.08,0.16,0.64,0.64,0.0,0.48,0.0,0.68,0.3
2706,0.64,0.64,0.08,0.0,0.48,0.48,0.184,0.3,0.0,0.48,0.48
2707,0.64,0.64,0.08,0.0,0.0,0.0,0.232,0.3,0.0,0.44,0.48
2708,0.64,0.64,0.32,0.0,0.0,0.0,0.392,0.3,0.0,0.44,0.48
2709,0.8,0.8,0.464,0.0,0.0,0.0,0.592,0.3,0.0,0.44,0.3
2710,0.8,0.8,0.608,0.0,0.0,0.0,0.16,0.12,0.0,0.44,0.3
2711,0.8,0.8,0.728,0.0,0.0,0.0,0.136,0.12,0.0,0.44,0.0
2712,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2713,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2714,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2715,0.8,0.8,0.72,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2716,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.12,0.0,0.44,0.0
2717,0.8,0.8,0.728,0.0,0.0,0.0,0.0,0.3,0.0,0.44,0.0
2718,0.64,0.64,0.608,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.0
2719,0.48,0.48,0.368,0.16,0.16,0.16,0.0,0.6,0.12,0.68,0.3
2720,0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.6,0.24,0.68,0.48
2721,0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.48,0.48,0.76,0.6
2722,0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.6,0.48,0.84,0.6
2723,0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.3,0.24,0.84,0.48
2724,0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.48,0.12,0.76,0.0
2725,0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.6,0.24,0.76,0.48
2726,0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.6,0.48,0.84,0.6
2727,0.32,0.32,0.032,0.64,0.32,0.32,0.0,0.48,0.48,0.84,0.6
2728,0.48,0.48,0.032,0.32,0.48,0.48,0.0,0.48,0.12,0.68,0.48
