0,MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
0,0.08,0.08,0.72,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
1,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
2,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
3,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
4,0.08,0.08,0.296,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
5,0.08,0.08,0.296,0.08,0.08,0.08,0.08,0.4,0.08,0.16,0.08
6,0.4,0.4,0.32,0.08,0.8,0.8,0.08,0.64,0.08,0.2,0.08
7,0.8,0.8,0.368,0.16,0.8,0.8,0.08,0.8,0.16,0.68,0.4
8,0.4,0.4,0.368,0.32,0.8,0.8,0.32,0.8,0.32,0.6,0.64
9,0.4,0.4,0.32,0.64,0.8,0.8,0.32,0.64,0.64,0.6,0.8
10,0.4,0.4,0.32,0.64,0.8,0.8,0.32,0.8,0.64,0.6,0.8
11,0.8,0.8,0.32,0.32,0.8,0.8,0.392,0.4,0.32,0.6,0.64
12,0.8,0.8,0.32,0.16,0.8,0.8,0.8,0.64,0.16,0.68,0.08
13,0.4,0.4,0.32,0.32,0.8,0.8,0.752,0.8,0.32,0.6,0.64
14,0.4,0.4,0.32,0.64,0.8,0.8,0.116,0.8,0.64,0.6,0.8
15,0.4,0.4,0.32,0.64,0.8,0.8,0.08,0.64,0.64,0.6,0.8
16,0.8,0.8,0.32,0.16,0.8,0.8,0.08,0.64,0.16,0.6,0.64
17,0.8,0.8,0.368,0.08,0.8,0.8,0.08,0.64,0.08,0.68,0.4
18,0.8,0.8,0.368,0.08,0.8,0.8,0.32,0.4,0.08,0.56,0.64
19,0.8,0.8,0.368,0.08,0.8,0.8,0.368,0.4,0.08,0.4,0.64
20,0.4,0.4,0.32,0.08,0.4,0.4,0.392,0.4,0.08,0.32,0.64
21,0.4,0.4,0.464,0.08,0.4,0.4,0.728,0.4,0.08,0.24,0.4
22,0.4,0.4,0.608,0.08,0.4,0.4,0.568,0.16,0.08,0.16,0.4
23,0.08,0.08,0.728,0.08,0.08,0.08,0.284,0.16,0.08,0.16,0.08
24,0.08,0.08,0.72,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
25,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
26,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
27,0.08,0.08,0.288,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
28,0.08,0.08,0.296,0.08,0.08,0.08,0.08,0.16,0.08,0.16,0.08
29,0.08,0.08,0.296,0.08,0.08,0.08,0.08,0.4,0.08,0.16,0.08
30,0.4,0.4,0.32,0.08,0.8,0.8,0.08,0.64,0.08,0.2,0.08
31,0.8,0.8,0.368,0.16,0.8,0.8,0.08,0.8,0.16,0.68,0.4
32,0.4,0.4,0.368,0.32,0.8,0.8,0.32,0.8,0.32,0.6,0.64
33,0.4,0.4,0.32,0.64,0.8,0.8,0.32,0.64,0.64,0.6,0.8
34,0.4,0.4,0.32,0.64,0.8,0.8,0.32,0.8,0.64,0.6,0.8
35,0.8,0.8,0.32,0.32,0.8,0.8,0.392,0.4,0.32,0.6,0.64
36,0.8,0.8,0.32,0.16,0.8,0.8,0.8,0.64,0.16,0.68,0.08
37,0.4,0.4,0.32,0.32,0.8,0.8,0.752,0.8,0.32,0.6,0.64
38,0.4,0.4,0.32,0.64,0.8,0.8,0.116,0.8,0.64,0.6,0.8
39,0.4,0.4,0.32,0.64,0.8,0.8,0.08,0.64,0.64,0.6,0.8
40,0.8,0.8,0.32,0.16,0.8,0.8,0.08,0.64,0.16,0.6,0.64
41,0.8,0.8,0.368,0.08,0.8,0.8,0.08,0.64,0.08,0.68,0.4
42,0.8,0.8,0.368,0.08,0.8,0.8,0.32,0.4,0.08,0.56,0.64
43,0.8,0.8,0.368,0.08,0.8,0.8,0.368,0.4,0.08,0.4,0.64
