HOY,x,y,z
9.0,145656.564178625,-135808.433226561,18445.4540802047
10.0,111575.400818198,-160755.34256783,41335.8170133151
11.0,69893.6167862345,-178353.681966656,57487.7940216519
12.0,23449.5825707428,-187404.036011703,65801.552897954
13.0,-24593.8521982354,-187289.08883685,65711.0313167729
14.0,-70964.7482243086,-178015.696415363,57222.5160161083
15.0,-112504.906730237,-160214.451858217,40914.2441869797
16.0,-146384.964943522,-135096.771100075,17897.0521823468
33.0,145978.12922468,-135456.422542683,18491.7111160867
34.0,111945.174376017,-160470.004701273,41444.6079134139
35.0,70286.1908265526,-178141.928147332,57665.4559944178
36.0,23837.9879795645,-187267.673999842,66049.7434043078
37.0,-24236.2928322135,-187224.699767321,66026.6151395606
38.0,-70662.5882261312,-178014.870683388,57597.7815611056
39.0,-112278.889223476,-160264.367772175,41337.4340922062
40.0,-146250.598795474,-135181.076484839,18353.171724952
57.0,146304.518293869,-135094.182882488,18562.0494049528
58.0,112317.331196995,-160175.144243147,41578.1226063866
59.0,70678.5428729781,-177920.86551058,57868.0325682375
60.0,24223.5813244924,-187121.709745064,66322.5742104425
61.0,-23883.9417675994,-187149.928223363,66366.118551804
62.0,-70367.6736491105,-178002.449410854,57995.8490665377
63.0,-112061.654615375,-160301.126073248,41781.9882785977
64.0,-146125.94731112,-135250.421083394,18828.9967654206
81.0,146635.398033114,-134721.914431616,18656.5220646975
82.0,112691.50166034,-159870.893073956,41736.351077607
83.0,71070.2924766912,-177690.553033252,58095.4463793401
84.0,24605.9975174112,-186966.129757231,66619.9010039451
85.0,-23537.123596771,-187064.693690333,66729.3352831576
86.0,-70080.2662390097,-177978.295132955,58416.4595421224
87.0,-111853.383777396,-160324.546359778,42247.6078858668
88.0,-146011.098024748,-135304.598545387,19324.2041512437
105.0,146970.428856929,-134339.815693832,18775.1687331335
106.0,113067.312821303,-159557.380460786,41919.2689805239
107.0,71461.0590008869,-177451.04673711,58347.6054210961
108.0,24984.8744296388,-186800.917862499,66941.5650807701
109.0,-23196.1570105726,-186968.913835262,67116.0454675574
110.0,-69800.6193058123,-177942.269965967,58859.3416874829
111.0,-111654.247193175,-160334.449647933,42733.9834302855
112.0,-145906.126847164,-135343.406085569,19838.4620778934
129.0,147309.265343115,-133948.083351791,18918.0154998727
130.0,113444.388832374,-159234.732997447,42126.8376415911
131.0,71850.4620385642,-177202.399710596,58624.40312405
132.0,25359.8532775776,-186626.055303329,67287.3934972858
133.0,-22861.3544713986,-186862.504676329,67526.0158592369
134.0,-69528.9774781469,-177894.235832633,59324.2121596824
135.0,-111464.404811362,-160330.658635522,43240.7951077281
136.0,-145811.098027262,-135366.644765908,20371.4304089014
153.0,147651.556642492,-133546.912128985,19085.0748455938
154.0,113822.351376496,-158903.07454832,42359.0040748911
155.0,72238.1218395145,-176944.662136336,58925.7184475278
156.0,25730.579014112,-186441.52084567,67657.1992352045
157.0,-22533.0218843504,-186745.380760257,67959.0000622884
158.0,-69265.5764597265,-177834.054695412,59810.7758542817
159.0,-111284.005904251,-160312.997972918,43767.7131095287
160.0,-145726.064122788,-135374.11978332,20922.7610073942
177.0,147996.946902045,-133136.494652761,19276.3455885395
178.0,114200.820111756,-158562.52619567,42615.7010061994
179.0,72623.6597460507,-176677.881324071,59251.4159824657
180.0,26096.700725444,-186247.290892932,68050.7813789822
181.0,-22211.4582666248,-186617.455347157,68414.738773323
182.0,-69010.6427877992,-177761.588797162,60318.7261994436
