HOY,x,y,z
183.0,-111113.188932053,-160281.294540628,44314.3979506727
184.0,-145651.065979953,-135365.640762641,21492.0980786657
201.0,148345.075700788,-132717.02131833,19491.8128381453
202.0,114579.413126886,-158213.206190252,42896.8469062638
203.0,73006.6986369149,-176402.101748711,59601.3460651353
204.0,26457.8720329168,-186043.339606344,68467.9253052734
205.0,-21896.9554154298,-186478.64060238,68892.9600367333
206.0,-68764.3935937123,-177676.700908732,60847.745462572
207.0,-110952.081412717,-160235.377733023,44880.500809832
208.0,-145586.132721651,-135341.022054349,22079.0785232995
225.0,148695.578497578,-132288.680153822,19731.4479557478
226.0,114957.747406829,-157855.229905069,43202.3460331214
227.0,73386.863378702,-176117.365093243,59975.3449014585
228.0,26813.751499303,-185829.639031311,68908.4028840199
229.0,-21589.7975747787,-186328.847794895,69393.379512075
230.0,-68527.0363657821,-177579.25458294,61397.505068936
231.0,-110800.799797298,-160175.079747665,45465.6638806514
232.0,-145531.281744054,-135300.083036515,22683.3323002821
249.0,149048.087090016,-131851.656686421,19995.2085223749
250.0,115335.43930755,-157488.709792215,43532.0884833011
251.0,73763.7812840295,-175823.710296262,60373.2347016281
252.0,27164.0030388924,-185606.159229409,69371.9726907787
253.0,-21290.2611016883,-186167.987501697,69915.7007530484
254.0,-68298.768714771,-177469.11441438,61967.6659316929
255.0,-110659.449350949,-160100.235879632,46069.5207336797
256.0,-145486.518721464,-135242.648420373,23304.4827995022
273.0,149402.230083543,-131406.133809765,20283.0383136807
274.0,115712.105039149,-157113.755342757,43885.9502518217
275.0,74137.0825755768,-175521.173603919,60794.8238247716
276.0,27508.296330607,-185372.868415655,69858.38022986
277.0,-20998.6141323601,-185995.969817779,70459.6154975595
278.0,-68079.7781423719,-177346.146304462,62557.8787926967
279.0,-110528.124039715,-160010.684820206,46691.6966882793
280.0,-145451.837619333,-135168.548558878,23942.1472229511
297.0,149757.633369768,-130952.291652789,20594.867282142
298.0,116087.361156309,-156730.473049685,44263.793300922
299.0,74506.4008550459,-175209.788626125,61239.9069334361
300.0,27846.3072333209,-185129.733100698,70367.3581679164
301.0,-20715.1162490477,-185812.704571159,71024.8039683288
302.0,-67870.2418131861,-177210.217731089,63167.7845734649
303.0,-110406.906423376,-159906.26895923,47331.8091938018
304.0,-145427.220715451,-135077.619757514,24595.9369738985
321.0,150113.920612998,-130490.307450312,20930.611546676
322.0,116460.825054991,-156338.966374015,44665.4656375088
323.0,74871.3735759954,-174889.586396882,61708.2651576847
324.0,28177.7182023943,-184876.718237638,70898.6265775833
325.0,-20440.0181484222,-185618.10154248,71610.9351835172
326.0,-67670.3263307951,-177061.198022336,63797.0147356344
327.0,-110295.867554679,-159786.834690435,47989.4682193096
328.0,-145412.638629375,-134969.704586627,25265.4580532709
345.0,150470.713743926,-130020.355415684,21290.1733899107
346.0,116832.11547426,-155939.33571416,45090.8013993507
347.0,75231.6425194224,-174560.595438659,62199.6662686432
348.0,28502.2187064007,-184613.787373156,71451.893190815
349.0,-20173.561312302,-185412.070688699,72217.667276834
350.0,-67480.1875185895,-176898.958633508,64445.1916502416
351.0,-110195.066885379,-159652.232718988,48664.2766510411
352.0,-145408.050360215,-134844.652194463,25950.3114623984
369.0,150827.633459378,-129542.60661592,21673.4412633675
370.0,117200.853002058,-155531.678378755,45539.6209500861
371.0,75586.8542709024,-174222.84183075,62713.8648613432
372.0,28819.5056429254,-184340.902802694,72026.8536615686
373.0,-19915.9776817313,-185194.522370398,72844.6478265966
374.0,-67299.9702061265,-176723.373426924,65111.9289751318
375.0,-110104.552179574,-159502.318370485,49355.830696849
376.0,-145413.403332976,-134702.3186201,26650.0936112866
393.0,151184.299726979,-129057.228849733,22080.2898008736
394.0,117566.660583682,-155116.088563165,46011.7309831504
395.0,75936.6606980393,-173876.349281617,63250.602546758
396.0,29129.2837522389,-184058.025729425,72623.1918375103
397.0,-19667.4893354668,-184965.36758223,73491.5141932036
398.0,-67129.808021838,-176534.318953782,65796.8320398139
399.0,-110024.359434911,-159336.95190063,50063.7202967784
400.0,-145428.633453708,-134542.567105389,27364.3967315014
417.0,151540.332293618,-128564.386529013,22510.5798405611
418.0,117929.164031717,-154692.657329935,46506.9246347658
419.0,76280.7194269129,-173521.13920523,63809.6081529397
420.0,29431.266027599,-183765.116426799,73240.5800404232
421.0,-19428.3081739632,-184724.518186073,74157.8938645143
422.0,-66969.8231929976,-176331.674737467,66499.4982370464
423.0,-109954.512812272,-159155.99880478,50787.5295389431
424.0,-145453.665173776,-134365.26840503,28092.8092927557
441.0,151895.351196519,-128064.240564262,22964.1584558418
442.0,118287.992536112,-154261.472593505,47024.9816061635
443.0,76618.6943161868,-173157.23080146,64390.5979352005
444.0,29725.1741208809,-183462.13440446,73878.6793550294
445.0,-19198.6356100325,-184471.887146437,74843.4048086093
446.0,-66820.1263538998,-176115.323557632,67219.5174204599
447.0,-109895.024574633,-158959.330126566,51526.8370798593
448.0,-145488.411563602,-134170.301093877,28834.9164222543
449.0,-171174.694847115,-103434.749519733,690.243281072371
465.0,152248.977275759,-127556.948254595,23440.8589957791
466.0,118642.779173078,-153822.619109529,47565.6682952446
467.0,76950.2559274931,-172784.641140611,64993.2757952971
468.0,30010.7387421929,-183149.038577352,74537.1399259419
469.0,-18978.6622674108,-184207.388767697,75547.6558334287
470.0,-66680.8163632605,-175885.151734443,67956.4723075079
471.0,-109845.89503582,-158746.822764774,52281.2165683732
472.0,-145532.774396278,-133957.551870543,29590.3003258326
473.0,-171309.433559893,-103203.839568134,1430.19991027555
489.0,152600.832687054,-127042.663182918,23940.5011353025
490.0,118993.161411483,-153376.178469168,48128.737937896
491.0,77275.0819906988,-172403.385252207,65617.333509598
492.0,30287.7000521022,-182825.787437869,75215.6012624846
493.0,-18768.5676884563,-183930.938932754,76270.2469527884
494.0,-66551.9801318771,-175641.049412331,68709.938887044
495.0,-109807.112519925,-158518.359777682,53050.237072325
496.0,-145586.644241496,-133726.915856396,30358.5407099283
497.0,-171452.183627598,-102953.339242919,2181.43715491667
513.0,152950.541413638,-126521.535116917,24462.8909357341
514.0,119338.781615401,-152922.229098775,48713.9307592122
515.0,77592.8578626379,-172013.47621816,66262.4509662368
516.0,30555.8080450879,-182492.339230898,75913.6925511239
517.0,-18568.5200522662,-183642.455342722,77010.7697582944
518.0,-66433.6924616215,-175382.910842642,69479.4868308377
519.0,-109778.65333218,-158273.830684055,53833.463507081
520.0,-145649.900570251,-133478.296889015,31139.2152034056
521.0,-171602.736014676,-102683.184774507,2943.56193103661
537.0,153297.729776065,-125993.70991654,25007.8209160951
538.0,119679.287541482,-152460.846265364,49320.9741348673
539.0,77903.2769779021,-171614.925270476,66928.296411258
540.0,30814.8229228261,-182148.652131647,76631.0329752837
541.0,-18378.6759044863,-183341.857757258,77768.8077966688
542.0,-66326.0158968487,-175110.634664577,70264.6799083299
543.0,-109760.481742097,-158013.131759997,54630.457065089
544.0,-145722.411870799,-133211.607809183,31931.8997782712
545.0,-171760.872514921,-102393.323363385,3716.18130804385
561.0,153642.026938795,-125459.329448605,25575.0701356812
562.0,120014.332829815,-151992.10208832,49949.5827629044
563.0,78206.0412902833,-171207.741893663,67614.5267037732
564.0,31064.5154559096,-181794.684426146,77367.2320423032
565.0,-18199.1799001121,-183029.068235184,78543.9369520248
566.0,-66229.0005893069,-174824.124183822,71065.0764039634
567.0,-109752.5499797,-157736.166330894,55440.7756456005
568.0,-145804.035776376,-132926.770740531,32736.1691682996
569.0,-171926.366001809,-102083.713422692,4498.90289355609
585.0,153983.065412421,-124918.531509253,26164.4042883793
586.0,120343.577486993,-151516.06555776,50599.4588462027
587.0,78500.8617034788,-170791.93393202,68320.7875801494
588.0,31304.6673326379,-181430.394694327,78121.8899173182
589.0,-18030.1645605274,-182704.011375036,79335.725832635
590.0,-66142.6841776337,-174523.2876483,71880.2295364068
591.0,-109754.798245649,-157442.845057682,56263.9742837233
592.0,-145894.619205157,-132623.717360928,33551.5972846434
593.0,-172098.980688571,-101754.324810379,5291.33521321663
609.0,154320.481550441,-124371.449754862,26775.5758091939
610.0,120666.688360098,-151032.802559999,51270.2922858771
611.0,78787.4584897077,-170367.507701968,69046.7139272574
612.0,31535.0714935161,-181055.741995608,78894.5977638429
613.0,-17871.7500460522,-182366.614555213,80143.7361617345
614.0,-66067.0916824922,-174208.038520475,72709.6878790285
615.0,-109767.154736079,-157133.086216693,57099.6055779991
616.0,-145993.998512967,-132302.389164757,34377.757627468
617.0,-172278.47239815,-101405.139050022,6093.08808449596
633.0,154653.916039486,-123818.213642107,27408.3239934398
634.0,120983.339600354,-150542.375910528,51961.7608858533
635.0,79065.5616949059,-169934.468109627,69791.9300647812
636.0,31755.532450162,-180670.686056884,79684.9380908431
637.0,-17724.0439451916,-182016.808173401,80967.5231719256
638.0,-66002.2354183804,-173878.295745675,73552.9957809751
639.0,-109789.535682912,-156806.815972377,57947.2201156857
640.0,-146101.999659194,-131962.737715251,35214.2236927172
641.0,-172464.588843166,-101036.149539409,6903.77298350128
657.0,154983.014381972,-123258.948377777,28062.3751290248
658.0,121293.213115265,-150044.845394926,52673.5305688499
659.0,79334.9115292369,-169492.818773772,70556.0500366159
660.0,31965.8665873528,-180275.187462858,80492.4851060709
661.0,-17587.1410817652,-181654.52588495,81806.6360027355
662.0,-65948.1149231028,-173533.984015905,74409.6937882212
663.0,-109821.845410402,-156463.968642202,58806.3668949688
664.0,-146218.438386369,-131604.724886071,36060.5693731148
665.0,-172657.069916035,-100647.361746014,7723.00340388669
681.0,155307.427370161,-122693.774878952,28737.4426422242
682.0,121595.999008067,-149540.267818086,53405.2556039711
683.0,79595.258741681,-169042.562154355,71338.6779113259
684.0,32165.9024470034,-179869.207848628,81316.8050754388
685.0,-17461.1233410148,-181279.70483991,82660.6181009137
686.0,-65904.716905835,-173175.034028648,75279.3190639919
687.0,-109863.976408594,-156104.486953072,59676.5937433615
688.0,-146343.120413822,-131228.323091366,36916.3693525453
689.0,-172855.647989321,-100238.793388574,8550.39520692549
705.0,155626.811550661,-122122.809744104,29433.227257307
706.0,121891.396003396,-149028.697062113,54156.5788460841
707.0,79846.3649775482,-168583.699686709,72139.4080916501
708.0,32355.4809929321,-179452.710094449,82157.4566882018
709.0,-17346.0595157496,-180892.285918412,83529.007623027
710.0,-65872.0152146579,-172801.382740178,76161.4058079441
711.0,-109915.809424356,-155728.322288629,60557.4477315351
712.0,-146475.841645784,-130833.515503592,37781.1994930083
713.0,-173060.04822642,-99810.4746039831,9385.56696192223
728.0,179074.052458681,-89063.9465627026,311.70290630586
729.0,155940.829678444,-121546.165235633,30149.4171703321
730.0,122179.111858133,-148510.184153231,54927.1319871273
731.0,80088.0031178206,-168116.231921563,72957.8256329999
732.0,32534.455855355,-179025.658522559,83013.9914277117
733.0,-17242.0051734709,-180492.213964125,84411.3378399285
734.0,-65849.9708243628,-172412.97361291,77055.4856735369
735.0,-109977.21357056,-155335.434926858,61448.4755818975
736.0,-146616.388394262,-130420.296258395,38654.6372133441
737.0,-173269.988902604,-99362.4480987828,10228.1402761322
752.0,179389.728815229,-88421.3883831263,991.600725595122
753.0,156249.151159497,-120963.949274317,30885.688237389
754.0,122458.863756417,-147984.777337968,55716.5358194438
755.0,80319.957599297,-167640.158670951,73793.506570874
756.0,32702.6935541132,-178588.019095987,83885.9539474695
757.0,-17149.0025453893,-180079.438015476,85307.1375426963
758.0,-65838.531845246,-172009.75685635,77961.0881830276
759.0,-110048.046453919,-154925.79426742,62349.2240712373
760.0,-146764.537616947,-129988.670645945,39536.2618590046
761.0,-173485.181736431,-98894.7692846123,11077.7401134283
776.0,179702.015473507,-87774.2698831581,1692.09374389887
777.0,156551.452481277,-120376.265446083,31641.7041775016
778.0,122730.378687944,-147452.522168872,56524.4005112139
779.0,80542.0247146073,-167155.479160078,74646.0182570801
780.0,32860.0736997376,-178139.759619207,84772.8824522252
781.0,-17067.0804381063,-179653.911534367,86215.9314495931
782.0,-65837.6335535308,-171591.68966123,78877.7411395332
783.0,-110128.154321913,-154499.379048181,63259.2404267973
784.0,-146920.057170367,-129538.655288106,40425.6550621694
785.0,-173705.332231497,-98407.5063969927,11933.9951010119
800.0,180010.565027313,-87122.7549175249,2412.89331063823
801.0,156847.417630189,-119783.213021448,32417.1167903534
802.0,122993.393808665,-146913.461599949,57350.3258939912
803.0,80754.0128912346,-166662.192185167,75514.9197046308
804.0,33006.489171554,-177680.849940498,85674.3090838225
805.0,-16996.2541686588,-179215.592632098,87137.2406136445
806.0,-65847.1984439537,-171158.736426403,79804.9710356412
807.0,-110217.372229166,-154056.177550482,64178.0727151561
808.0,-147082.706078407,-129070.27830094,41322.4010915499
809.0,-173930.140028411,-97900.7405969371,12796.5378235062
824.0,180315.034824551,-86467.0018298117,3153.69795385815
825.0,157136.738495338,-119184.88698793,33211.5661889367
826.0,123247.656783137,-146367.636091948,58193.9017623092
827.0,80955.7429487788,-166160.296277268,76399.7619411329
828.0,33141.8462721183,-177211.262155863,86589.7603114899
829.0,-16936.5255235278,-178764.44429221,88070.5828304102
830.0,-65867.1363049525,-170710.86897815,80742.303458036
831.0,-110315.524223499,-153596.18779266,65105.2702233586
832.0,-147252.23481626,-128583.579442054,42226.0871912846
833.0,-174159.299266881,-97374.5660549032,13665.0051038471
848.0,180615.087395714,-85807.1634180828,3914.19355438769
849.0,157419.115257899,-118581.378095632,34024.6810471621
850.0,123492.926107796,-145815.083727601,59054.7081852674
851.0,81147.0483337915,-165649.789871984,77300.0883704601
852.0,33266.0648573849,-176730.970814328,87518.7573262415
853.0,-16887.8827420822,-178300.434589976,89015.4730455072
854.0,-65897.3443167916,-170248.066781495,81689.2634876685
855.0,-110422.42355186,-153119.417711439,66040.3838317404
856.0,-147428.385609793,-128078.610242359,43136.3039083803
857.0,-174392.498957694,-96829.0900166962,14539.0382704398
872.0,180910.390873029,-85143.3869161833,4694.0535370974
873.0,157694.256765453,-117972.772916169,34856.0788623906
874.0,123728.971414556,-145255.840336818,59932.3158299499
875.0,81327.7753315968,-165130.671485015,78215.4351424417
876.0,33379.0784421158,-176239.953124408,88460.8164390395
877.0,-16850.3005248327,-177823.536908237,89971.4237614802
878.0,-65937.7071728479,-169770.317143224,82645.3760949579
879.0,-110537.872886159,-152625.885330813,66982.9663779451
880.0,-147610.892750212,-127555.4341219,44052.6454081823
881.0,-174629.423364338,-96264.4328509979,15418.2834101157
896.0,181200.619399722,-84475.8139909207,5492.93907925069
897.0,157961.88089074,-117359.153914985,35705.3662328007
898.0,123955.573754159,-144689.939631808,60826.2862964772
899.0,81497.7832546211,-164602.939893379,79145.3315302908
900.0,33480.8342801513,-175738.189161534,89415.449482345
901.0,-16823.740066758,-177333.730149315,90937.9454435616
902.0,-65988.0972241693,-169277.615406257,83610.1665295851
903.0,-110661.66456899,-152115.618918092,67932.5730116714
904.0,-147799.48292386,-127014.126489435,44974.7097774453
905.0,-174869.752393951,-95680.7280782663,16302.3916064881
920.0,181485.453528855,-83804.5807552171,6310.49933588976
921.0,158221.714874285,-116740.599537078,36572.1391494109
922.0,124172.525858831,-144117.41335203,61736.1724644327
923.0,81656.9446068469,-164066.594322125,80089.3003154209
924.0,33571.2934192644,-175225.662076169,90382.1642146601
925.0,-16808.1491158302,-176830.998942696,91914.5469239133
926.0,-66048.3746473059,-168769.965135089,84583.1607044214
927.0,-110793.580879096,-151588.65712682,68888.7615397059
928.0,-147993.875556863,-126454.774825521,45902.0993145927
929.0,-175113.161997209,-95078.122380829,17191.0191633715
944.0,181764.58061123,-83129.817797256,7146.37168209491
945.0,158473.495650459,-116117.18430605,37455.9833025221
946.0,124379.632383843,-143538.2914188,62661.5188503403
947.0,81805.145224109,-163521.634636308,81046.858179279
948.0,33650.4307304504,-174702.358302355,91360.464727643
949.0,-16803.4620567716,-176315.3338482,92900.7358038922
950.0,-66118.3876352954,-168247.378291999,85563.8855731657
951.0,-110933.394316321,-151045.049126326,69851.0927608542
952.0,-148193.78317427,-125877.478748922,46834.4208068393
953.0,-175359.32457672,-94456.7755940568,18083.8278130057
968.0,182037.695171898,-82451.6502255712,8000.18197188429
969.0,158716.970156542,-115488.978936328,38356.4744022656
970.0,124576.710127674,-142952.602099346,63601.8619758225
971.0,81942.2843900435,-162968.061537957,82017.5161017565
972.0,33718.2349115921,-174168.267766388,92349.851855336
973.0,-16809.6000199482,-175786.731554336,93896.0188539072
974.0,-66197.9726115753,-167709.87540378,86551.8695012746
975.0,-111080.867905713,-150484.854717689,70819.1307904129
976.0,-148398.911773251,-125282.350066216,47771.285793884
977.0,-175607.909403412,-93816.8606785966,18980.4849088715
992.0,182304.499274795,-81770.1977299113,8871.54481346921
993.0,158951.89562446,-114856.050458327,39273.178512884
994.0,124763.588230544,-142360.37218,64556.7307459959
995.0,82068.2749276129,-162405.876767699,83000.7797657393
996.0,33774.7084655768,-173623.384095293,93349.8235850691
997.0,-16826.471015184,-175245.195071554,94899.9024104243
998.0,-66286.9544664826,-167157.485718732,87546.6426298019
999.0,-111235.755520329,-149908.144435964,71792.4433738531
1000.0,-148608.961209818,-124669.512804515,48712.3108179389
1001.0,-175858.583040353,-93158.5636736862,19880.663602985
1016.0,182564.702875106,-81085.5746576662,9760.06386046593
1017.0,159178.039854873,-114218.462356254,40205.6524002968
1018.0,124940.108351179,-141761.627148201,65525.646837633
1019.0,82183.0432662106,-161835.083310693,83996.1499672769
1020.0,33819.8676530312,-173067.704824753,94359.8754695219
1021.0,-16853.9700901735,-174690.733920081,95911.8927696813
1022.0,-66385.1468158814,-166590.247353706,88547.7372317608
1023.0,-111397.802222173,-149314.999638537,72770.6021894362
1024.0,-148823.62559847,-124039.10322731,49657.1176599196
1025.0,-176111.009773389,-92482.0836316766,20784.0430075789
1040.0,182818.024158935,-80397.8901055403,10665.3321186247
1041.0,159395.181473389,-113576.274718171,41153.4438924366
1042.0,125106.124821718,-141156.39138288,66508.1250965321
1043.0,82286.5294844571,-161255.685606456,85003.1230308353
1044.0,33853.7424199576,-172501.231606117,95379.5010394585
1045.0,-16891.9795130701,-174123.364312049,96931.4965776531
1046.0,-66492.3522813695,-166008.207430977,89554.6880606704
1047.0,-111566.744620656,-148705.512579521,73753.1831395178
1048.0,-149042.59372407,-123391.269833464,50605.33356166
1049.0,-176364.852047905,-91787.632533937,21690.3083411855
1064.0,183064.189869932,-79707.2480260894,11586.9322675519
1065.0,159603.110168698,-112929.544397902,42116.0922517817
1066.0,125261.504780783,-140544.68835279,67503.6739435048
1067.0,82378.6873288842,-160667.689762145,86021.1912290518
1068.0,33876.3763006486,-171923.970412113,96408.1922165942
1069.0,-16940.3689786868,-173543.109327608,97958.2212158423
1070.0,-66608.3627913936,-165411.422204792,90567.0326909193
1071.0,-111742.311247805,-148079.786470146,74739.7666303198
1072.0,-149265.549465201,-122726.17333947,51556.5914340925
1073.0,-176619.770910993,-91075.4351883807,22599.1510591752
1088.0,183302.935622521,-79013.7473486611,12524.4369968368
1089.0,159801.626912507,-112278.325188228,43093.1285594637
1090.0,125406.128284779,-139926.540822234,68511.7957883562
1091.0,82459.4842087984,-160071.103768795,87049.8432063987
1092.0,33887.826296369,-171335.931740841,97445.4397260596
1093.0,-16998.9958376947,-172949.999084735,98991.5751824372
1094.0,-66732.9599025224,-164799.957177392,91584.3118496729
1095.0,-111924.22294943,-147437.935525142,75729.9378400014
1096.0,-149492.17222816,-122043.986645114,52510.5300513483
1097.0,-176875.426458244,-90345.7291089411,23510.2689688629
1112.0,183534.006201418,-78317.4821142168,13477.4093559303
1113.0,159990.54416116,-111622.668004857,44084.0761102386
1114.0,125539.888397571,-139301.971063654,69531.9874511451
1115.0,82528.9011676932,-159465.937720028,88088.5644060875
1116.0,33888.1627303747,-170737.130817622,98490.7335079094
1117.0,-17067.7053480599,-172344.070902426,100031.068468409
1118.0,-66865.9151400221,-164173.887204393,92606.0697399835
1119.0,-112112.193291322,-146780.084995131,76723.2869748905
1120.0,-149722.137390709,-121344.894782754,53466.7942308118
1121.0,-177131.478284332,-89598.7643773545,24423.36632937
1136.0,183757.155847156,-77618.541623436,14445.4031170776
1137.0,160169.686038945,-110962.621080497,45088.450817609
1138.0,125662.691258765,-138671.00107646,70563.7405900281
1139.0,82586.9328316715,-158852.20403265,89136.8374995787
1140.0,33877.4690799337,-170127.587794278,99543.5631270973
1141.0,-17146.3309478992,-171725.369456988,101076.212928097
1142.0,-67006.9903568012,-163533.296589395,93631.8543548536
1143.0,-112305.928979519,-146106.371185101,77719.4095137679
1144.0,-149955.11675462,-120629.094850474,54425.0349991941
1145.0,-177387.585936545,-88834.8034876917,25338.1539364637
1160.0,183972.148527369,-76917.0105974585,15427.9631505291
1161.0,160338.88850306,-110298.230168385,46105.761628298
1162.0,125774.456130862,-138033.652811432,71606.5421349127
1163.0,82633.5873354046,-158229.917668594,90194.1428179906
1164.0,33855.841786099,-169507.327945379,100603.418181353
1165.0,-17234.6945488469,-171093.946931139,102126.522643888
1166.0,-67155.9381097109,-162878.279167714,94661.2177819878
1167.0,-112505.130293584,-145416.941459061,78717.9064401212
1168.0,-150190.779006008,-119896.795929401,55384.9097447322
1169.0,-177643.409370353,-88054.1211741207,26254.3491926687
1184.0,184178.75819359,-76212.9693505514,16424.6258112375
1185.0,160497.999490334,-109629.538754529,47135.5109452509
1186.0,125875.115425632,-137389.948400045,72659.8747261292
1187.0,82668.886226233,-157599.096357592,91259.9587846972
1188.0,33823.3900420527,-168876.381861005,101669.788706376
1189.0,-17332.6068489376,-170449.863155629,103181.514284524
1190.0,-67312.5020521191,-162208.938379157,95693.716498997
1191.0,-112709.491531795,-144711.954231007,79718.3844623498
1192.0,-150428.790182403,-119148.21898554,56346.0823556739
1193.0,-177898.609406086,-87257.0042224473,27171.676162957
1208.0,184376.769023382,-75506.4939739589,17434.9193361709
1209.0,160646.879045782,-108956.588277918,48177.1950583068
1210.0,125964.614710113,-136739.910387966,73723.2171573083
1211.0,82692.8643470796,-156959.760819975,92333.7623484056
1212.0,33780.2355609129,-168234.785635561,102742.165577751
1213.0,-17439.867663959,-169793.185743123,104240.707456659
1214.0,-67476.4173416097,-161525.387329787,96728.9116588369
1215.0,-112918.70146709,-143991.578942364,80720.4562218971
1216.0,-150668.814145485,-118383.596756497,57308.2233452435
1217.0,-178152.848185802,-86443.7512659967,28089.8656164307
1232.0,184565.97564764,-74797.6565301228,18458.3642513762
1233.0,160785.399433152,-108279.418357879,49230.3045816399
1234.0,126042.912692682,-136083.561972002,74796.0448216151
1235.0,82705.5696989007,-156311.934988966,93415.0294159652
1236.0,33726.5123239674,-167582.581052176,103820.040909027
1237.0,-17556.2662761487,-169123.990214062,105303.625049259
1238.0,-67647.4110616083,-160827.748842638,97766.3693652946
1239.0,-113132.443812564,-143255.996026094,81723.7404893378
1240.0,-150910.513058328,-117603.173623541,58271.0099633037
1241.0,-178405.789629342,-85614.672566489,29008.6550543787
1256.0,184746.183362901,-74086.5252564623,19494.4737878443
1257.0,160913.445227658,-107598.067027773,50294.3248970731
1258.0,126109.981189699,-135420.927239727,75877.8301605043
1259.0,82707.0632834572,-155655.646231835,94503.2352841742
1260.0,33662.3663103259,-166919.815762235,104902.908445338
1261.0,-17681.5817990793,-168442.360114262,106369.793570448
1262.0,-67825.2026556934,-160116.155497342,98805.6609383539
1263.0,-113350.397695278,-142505.396857723,82727.8623484573
1264.0,-151153.547866046,-116807.205469419,59234.126294999
1265.0,-178657.099888639,-84770.089780546,29927.7887251796
1280.0,184917.20832859,-73373.1647778288,20542.7543052659
1281.0,161030.913391116,-106912.570974162,51368.7366023125
1282.0,126165.805073284,-134752.031411011,76968.0431141134
1283.0,82697.4189272399,-154990.925569269,95597.8550698382
1284.0,33587.9552090633,-166246.54345956,105990.263952037
1285.0,-17815.5835575147,-167748.387124013,107438.743476445
1286.0,-68009.5043733043,-159390.749658718,99846.3631692676
1287.0,-113572.23813712,-141739.983693484,83732.4533684291
1288.0,-151397.578778659,-115995.95952245,60197.263346651
1289.0,-178906.44779928,-83910.3357125477,30847.0176265246
1304.0,185078.877749096,-72657.6363267748,21602.7057226897
1305.0,161137.713329752,-106222.965780602,52453.0159631604
1306.0,126210.382200795,-134076.901080685,78066.151572429
1307.0,82676.7230874144,-154317.807892306,96698.3641373541
1308.0,33503.4481149414,-165562.824048813,107081.605597746
