DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
18.02,80.9,27.56,861.09,0.0
18.15,86.38,29.43,775.98,0.0
18.58,80.86,27.55,531.15,0.0
19.65,83.01,28.28,304.48,0.12
21.51,84.34,28.74,163.65,1.89
22.72,80.78,27.52,67.46,3.74
24.49,83.64,28.5,18.52,7.91
24.01,83.84,28.57,33.94,7.13
21.5,80.66,27.48,107.15,1.16
19.02,83.68,28.51,300.53,0.0
18.19,85.91,29.27,658.21,0.0
18.06,78.54,26.76,788.26,0.0
