DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
15.0,0.0,0.0,30.71,0.0
19.18,3.66,1.25,32.16,0.0
19.28,3.66,1.25,23.93,0.0
19.19,3.66,1.25,26.57,0.0
19.16,3.66,1.25,30.08,0.0
19.17,3.66,1.25,32.51,0.0
15.0,0.77,0.26,25.58,0.0
15.0,0.0,0.0,24.83,0.0
19.17,3.66,1.25,33.97,0.0
19.16,3.66,1.25,32.66,0.0
19.14,3.66,1.25,37.43,0.0
19.18,3.66,1.25,32.7,0.0
19.18,3.66,1.25,33.74,0.0
15.0,0.77,0.26,13.36,0.0
15.0,0.0,0.0,21.44,0.0
19.31,3.66,1.25,23.98,0.0
19.31,3.66,1.25,19.25,0.0
19.19,3.66,1.25,26.05,0.0
19.16,3.66,1.25,34.45,0.0
19.2,3.66,1.25,26.52,0.0
15.0,0.77,0.26,25.53,0.0
15.0,0.0,0.0,23.87,0.0
19.25,3.66,1.25,26.77,0.0
19.19,3.66,1.25,26.63,0.0
19.16,3.66,1.25,29.94,0.0
19.14,3.66,1.25,40.03,0.0
19.17,3.66,1.25,32.14,0.0
15.0,0.77,0.26,22.51,0.0
15.0,0.0,0.0,25.09,0.0
19.22,3.66,1.25,27.18,0.0
19.26,3.66,1.25,24.9,0.0
19.3,3.66,1.25,22.29,0.0
19.2,3.66,1.25,26.11,0.0
19.21,3.66,1.25,28.25,0.0
15.0,0.77,0.26,23.32,0.0
15.0,0.0,0.0,23.48,0.0
19.29,3.66,1.25,25.69,0.0
19.37,3.66,1.25,19.54,0.0
19.34,3.66,1.25,19.05,0.0
19.3,3.66,1.25,25.8,0.0
19.32,3.66,1.25,25.44,0.0
15.0,0.77,0.26,19.98,0.0
15.0,0.0,0.0,21.92,0.0
19.35,3.66,1.25,26.3,0.0
19.24,3.66,1.25,23.4,0.0
19.25,3.66,1.25,23.12,0.0
19.23,3.66,1.25,25.87,0.0
19.23,3.66,1.25,25.72,0.0
15.0,0.77,0.26,24.67,0.0
15.0,0.0,0.0,22.89,0.0
19.23,3.66,1.25,27.08,0.0
19.18,3.66,1.25,29.19,0.0
19.18,3.66,1.25,29.23,0.0
19.19,3.66,1.25,28.57,0.0
19.19,3.66,1.25,28.98,0.0
15.0,0.77,0.26,28.57,0.0
15.0,0.0,0.0,30.46,0.0
19.2,3.66,1.25,35.56,0.0
19.28,3.66,1.25,29.46,0.0
19.29,3.66,1.25,22.18,0.0
19.28,3.66,1.25,26.25,0.0
19.27,3.66,1.25,24.29,0.0
15.0,0.77,0.26,23.84,0.0
15.0,0.0,0.0,23.8,0.0
19.41,3.66,1.25,25.55,0.0
19.42,3.66,1.25,22.34,0.0
19.53,3.66,1.25,21.11,0.0
19.79,3.66,1.25,18.81,0.0
19.95,3.66,1.25,16.09,0.0
15.35,0.77,0.26,9.64,0.0
15.0,0.0,0.0,14.65,0.0
20.2,3.66,1.25,19.73,0.0
19.78,3.66,1.25,10.5,0.0
19.23,3.66,1.25,20.48,0.0
19.45,3.66,1.25,18.73,0.0
19.45,3.66,1.25,14.2,0.0
15.0,0.77,0.26,10.68,0.0
15.4,0.0,0.0,7.6,0.0
20.01,3.66,1.25,15.09,0.0
20.42,3.66,1.25,11.52,0.0
19.59,3.66,1.25,12.52,0.0
19.83,3.66,1.25,15.07,0.0
19.97,3.66,1.25,8.07,0.0
15.0,0.77,0.26,14.0,0.0
15.0,0.0,0.0,21.25,0.0
19.21,3.66,1.25,28.82,0.0
19.56,3.66,1.25,17.52,0.0
19.45,3.66,1.25,16.94,0.0
19.68,3.66,1.25,19.28,0.0
19.56,3.66,1.25,11.73,0.0
15.0,0.77,0.26,10.52,0.0
15.98,0.0,0.0,5.82,0.0
21.51,3.66,1.25,13.03,0.01
22.61,3.66,1.25,5.36,0.08
22.35,3.66,1.25,6.72,0.06
22.11,3.66,1.25,5.95,0.02
21.74,3.66,1.25,7.53,0.01
16.77,0.77,0.26,0.57,0.0
15.05,0.0,0.0,9.75,0.0
19.5,3.66,1.25,19.41,0.0
20.54,3.66,1.25,15.31,0.0
21.08,3.66,1.25,7.7,0.0
20.18,3.66,1.25,8.37,0.0
19.71,3.66,1.25,12.49,0.0
15.16,0.77,0.26,6.57,0.0
15.0,0.0,0.0,11.64,0.0
20.26,3.66,1.25,14.9,0.0
21.67,3.66,1.25,6.7,0.01
20.13,3.66,1.25,6.95,0.0
19.51,3.66,1.25,16.84,0.0
19.85,3.66,1.25,13.45,0.0
15.05,0.77,0.26,6.32,0.0
15.5,0.0,0.0,8.18,0.0
20.31,3.66,1.25,9.7,0.0
19.79,3.66,1.25,8.79,0.0
