DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
18.03,19.09,6.5,202.46,0.0
18.03,19.09,6.5,209.8,0.0
18.06,19.09,6.5,177.55,0.0
18.03,19.09,6.5,202.77,0.0
18.08,19.09,6.5,178.16,0.0
18.18,19.09,6.5,160.58,0.0
18.12,19.09,6.5,172.1,0.0
18.04,19.09,6.5,195.25,0.0
18.12,19.09,6.5,193.19,0.0
18.54,19.09,6.5,140.47,0.0
18.62,19.09,6.5,113.69,0.0
18.97,19.09,6.5,88.6,0.0
18.51,19.09,6.5,131.05,0.0
20.8,19.09,6.5,48.93,0.12
19.22,19.09,6.5,86.38,0.0
19.18,19.09,6.5,82.22,0.0
19.36,19.09,6.5,60.3,0.0
19.64,19.09,6.5,71.35,0.06
20.27,19.09,6.5,70.3,0.06
22.6,19.09,6.5,19.09,0.83
21.75,19.09,6.5,23.41,0.27
22.86,19.09,6.5,11.0,0.95
21.68,19.09,6.5,19.07,0.2
23.27,19.09,6.5,13.46,1.4
22.74,19.09,6.5,20.63,1.11
23.25,19.09,6.5,10.49,0.76
24.84,19.09,6.5,2.96,1.93
26.25,19.09,6.5,0.2,3.51
24.91,19.09,6.5,1.19,1.96
22.48,19.09,6.5,9.76,0.26
24.44,19.09,6.5,6.31,2.15
24.44,19.09,6.5,4.5,1.49
25.26,19.09,6.5,1.27,2.39
23.59,19.09,6.5,6.92,1.23
21.36,19.09,6.5,23.07,0.16
21.32,19.09,6.5,26.96,0.19
21.77,19.09,6.5,19.97,0.23
22.53,19.09,6.5,16.43,0.63
20.39,19.09,6.5,34.7,0.06
19.2,19.09,6.5,60.1,0.0
19.28,19.09,6.5,61.06,0.0
18.82,19.09,6.5,76.55,0.0
19.03,19.09,6.5,67.52,0.0
18.51,19.09,6.5,109.49,0.0
18.22,19.09,6.5,128.3,0.0
18.28,19.09,6.5,111.97,0.0
18.03,19.09,6.5,202.52,0.0
18.08,19.09,6.5,178.17,0.0
18.09,19.09,6.5,163.64,0.0
18.07,19.09,6.5,181.07,0.0
18.08,19.09,6.5,169.85,0.0
18.02,19.09,6.5,203.03,0.0
