DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
17.93,80898878.52,27563502.05,2.69872373174e+11,0.0
18.12,86375358.1,29429423.54,2.60891209707e+11,0.0
17.94,80858610.29,27549782.04,1.93678965196e+11,0.0
18.18,83012960.71,28283802.63,1.29888239264e+11,0.0
19.02,84341812.37,28736562.99,82842672861.9,0.0
19.59,80778073.82,27522342.02,46654875309.0,15917469.52
21.52,83637118.31,28496462.8,20862507957.1,189271406.08
21.36,83838459.47,28565062.85,27822635261.7,301131330.01
18.91,80657269.13,27481181.98,49823616701.8,0.0
18.14,83677386.54,28510182.81,1.23747100734e+11,0.0
18.13,85912273.43,29271643.42,2.241388744e+11,0.0
17.8,78543186.93,26760881.41,2.49662478259e+11,0.0
