DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
19.46,3664409.13,1248521.0,4015043783.62,0.0
15.78,765096.41,260680.21,1584273084.1,0.0
15.0,0.0,0.0,2060723382.59,0.0
19.3,3664409.13,1248521.0,5955754328.25,0.0
19.37,3664409.13,1248521.0,4973698979.01,0.0
19.77,3664409.13,1248521.0,3324500691.49,0.0
19.35,3664409.13,1248521.0,3811079718.23,0.0
19.23,3664409.13,1248521.0,6482695432.24,0.0
15.0,765096.41,260680.21,5298770241.0,0.0
15.0,0.0,0.0,3988535465.11,0.0
19.41,3664409.13,1248521.0,5651793502.87,0.0
19.28,3664409.13,1248521.0,5784781014.79,0.0
19.35,3664409.13,1248521.0,5644044772.66,0.0
19.47,3664409.13,1248521.0,4831707497.7,0.0
19.72,3664409.13,1248521.0,3426414847.85,0.0
16.89,765096.41,260680.21,1435798019.27,0.0
17.14,0.0,0.0,1451950716.9,0.0
20.83,3664409.13,1248521.0,2242773435.73,0.0
19.92,3664409.13,1248521.0,1895500197.66,0.0
19.97,3664409.13,1248521.0,1697179895.56,0.0
20.23,3664409.13,1248521.0,1627197405.54,0.0
20.12,3664409.13,1248521.0,1121143867.6,0.0
16.87,765096.41,260680.21,477938409.56,0.0
17.27,0.0,0.0,422877743.99,0.0
19.5,3664409.13,1248521.0,1967604286.84,0.0
19.45,3664409.13,1248521.0,3424774137.46,0.0
19.35,3664409.13,1248521.0,4007134563.39,0.0
19.64,3664409.13,1248521.0,3684103808.96,0.0
20.67,3664409.13,1248521.0,2234487719.76,0.0
19.55,765096.41,260680.21,0.0,0.0
16.49,0.0,0.0,227688692.96,0.0
19.89,3664409.13,1248521.0,1711535303.45,0.0
20.19,3664409.13,1248521.0,1752588153.04,0.0
20.33,3664409.13,1248521.0,1091267527.52,0.0
20.92,3664409.13,1248521.0,1196480644.45,0.0
20.11,3664409.13,1248521.0,1170526583.48,0.0
16.7,765096.41,260680.21,67336591.43,0.0
15.67,0.0,0.0,606531467.74,0.0
19.94,3664409.13,1248521.0,2422878591.05,0.0
19.45,3664409.13,1248521.0,2894113215.52,0.0
19.47,3664409.13,1248521.0,3456618551.59,0.0
19.5,3664409.13,1248521.0,2857344003.49,0.0
20.17,3664409.13,1248521.0,2059634056.92,0.0
17.35,765096.41,260680.21,14123453.04,0.0
17.18,0.0,0.0,455306624.75,0.0
21.32,3664409.13,1248521.0,1584737733.67,0.0
21.61,3664409.13,1248521.0,431946669.8,0.0
21.09,3664409.13,1248521.0,758166506.38,0.0
22.15,3664409.13,1248521.0,775520576.72,13175973.85
20.41,3664409.13,1248521.0,2035459588.41,0.0
15.0,765096.41,260680.21,2008724308.37,0.0
15.0,0.0,0.0,2161879522.92,0.0
19.5,3664409.13,1248521.0,3391614930.56,0.0
19.52,3664409.13,1248521.0,3634162837.01,0.0
20.96,3664409.13,1248521.0,1202114371.19,0.0
21.67,3664409.13,1248521.0,791889035.6,0.0
22.0,3664409.13,1248521.0,883301096.09,0.0
21.9,765096.41,260680.21,0.0,2741495.66
22.5,0.0,0.0,0.0,0.0
21.09,3664409.13,1248521.0,565293352.82,0.0
20.31,3664409.13,1248521.0,1301793151.8,0.0
19.42,3664409.13,1248521.0,3260636349.65,0.0
19.48,3664409.13,1248521.0,3012329117.89,0.0
20.09,3664409.13,1248521.0,2392941555.24,0.0
18.65,765096.41,260680.21,379436346.43,0.0
20.81,0.0,0.0,78515119.42,0.0
21.81,3664409.13,1248521.0,247845823.45,0.0
21.47,3664409.13,1248521.0,725536297.57,0.0
21.07,3664409.13,1248521.0,1520320445.13,0.0
22.48,3664409.13,1248521.0,493633163.45,0.0
23.07,3664409.13,1248521.0,454374290.06,19234082.06
21.73,765096.41,260680.21,0.0,8290033.68
23.63,0.0,0.0,0.0,0.0
24.33,3664409.13,1248521.0,20290772.97,21624792.28
23.55,3664409.13,1248521.0,214978872.44,26374441.1
23.29,3664409.13,1248521.0,374767147.55,25222993.85
