DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
17.98,0.0,0.0,36.99,0.0
18.04,3.66,1.25,28.78,0.0
18.14,3.66,1.25,21.52,0.0
18.04,3.66,1.25,24.15,0.0
18.02,3.66,1.25,27.71,0.0
18.02,3.66,1.25,30.07,0.0
17.99,0.77,0.26,33.24,0.0
18.0,0.0,0.0,31.09,0.0
18.03,3.66,1.25,30.55,0.0
18.01,3.66,1.25,30.24,0.0
17.98,3.66,1.25,34.97,0.0
18.03,3.66,1.25,30.19,0.0
18.02,3.66,1.25,31.27,0.0
18.16,0.77,0.26,21.48,0.0
17.99,0.0,0.0,27.33,0.0
18.16,3.66,1.25,20.53,0.0
18.18,3.66,1.25,16.86,0.0
18.06,3.66,1.25,23.72,0.0
18.0,3.66,1.25,31.98,0.0
18.06,3.66,1.25,24.11,0.0
17.98,0.77,0.26,33.02,0.0
18.06,0.0,0.0,30.39,0.0
18.09,3.66,1.25,23.16,0.0
18.04,3.66,1.25,24.28,0.0
18.02,3.66,1.25,27.59,0.0
17.98,3.66,1.25,37.51,0.0
18.02,3.66,1.25,29.73,0.0
18.02,0.77,0.26,30.11,0.0
18.03,0.0,0.0,31.42,0.0
18.09,3.66,1.25,23.71,0.0
18.12,3.66,1.25,22.48,0.0
18.18,3.66,1.25,19.97,0.0
18.06,3.66,1.25,23.68,0.0
18.07,3.66,1.25,25.85,0.0
18.0,0.77,0.26,31.05,0.0
18.02,0.0,0.0,29.87,0.0
18.16,3.66,1.25,22.24,0.0
18.29,3.66,1.25,17.31,0.0
18.24,3.66,1.25,16.72,0.0
18.22,3.66,1.25,23.53,0.0
18.23,3.66,1.25,23.12,0.0
18.1,0.77,0.26,27.79,0.0
18.13,0.0,0.0,28.42,0.0
18.27,3.66,1.25,22.88,0.0
18.1,3.66,1.25,20.85,0.0
18.13,3.66,1.25,20.76,0.0
18.1,3.66,1.25,23.47,0.0
18.1,3.66,1.25,23.37,0.0
18.02,0.77,0.26,32.34,0.0
18.04,0.0,0.0,29.26,0.0
18.08,3.66,1.25,23.52,0.0
18.02,3.66,1.25,26.76,0.0
18.03,3.66,1.25,26.81,0.0
18.05,3.66,1.25,26.16,0.0
18.06,3.66,1.25,26.61,0.0
18.01,0.77,0.26,36.11,0.0
17.99,0.0,0.0,36.67,0.0
18.08,3.66,1.25,32.23,0.0
18.17,3.66,1.25,27.09,0.0
18.18,3.66,1.25,19.82,0.0
18.16,3.66,1.25,23.87,0.0
18.17,3.66,1.25,21.98,0.0
18.05,0.77,0.26,31.53,0.0
18.17,0.0,0.0,30.56,0.0
18.36,3.66,1.25,22.11,0.0
18.38,3.66,1.25,20.12,0.0
18.49,3.66,1.25,18.86,0.0
18.74,3.66,1.25,16.5,0.0
18.93,3.66,1.25,13.96,0.0
18.75,0.77,0.26,18.37,0.0
18.4,0.0,0.0,21.29,0.0
19.54,3.66,1.25,17.2,0.0
18.88,3.66,1.25,8.4,0.0
18.14,3.66,1.25,18.17,0.0
18.43,3.66,1.25,16.64,0.0
18.53,3.66,1.25,12.53,0.0
18.42,0.77,0.26,19.47,0.0
18.79,0.0,0.0,14.6,0.0
19.33,3.66,1.25,12.18,0.0
19.75,3.66,1.25,10.17,0.0
18.59,3.66,1.25,10.11,0.0
19.07,3.66,1.25,13.63,0.0
19.14,3.66,1.25,6.36,0.0
18.13,0.77,0.26,21.55,0.0
18.15,0.0,0.0,27.75,0.0
18.15,3.66,1.25,25.48,0.0
18.72,3.66,1.25,15.91,0.0
18.59,3.66,1.25,15.11,0.0
18.84,3.66,1.25,17.46,0.0
18.7,3.66,1.25,10.06,0.0
18.4,0.77,0.26,19.29,0.0
19.15,0.0,0.0,12.58,0.0
20.86,3.66,1.25,10.04,0.01
21.99,3.66,1.25,3.78,0.05
21.7,3.66,1.25,4.97,0.04
21.4,3.66,1.25,4.23,0.01
21.03,3.66,1.25,5.93,0.0
19.47,0.77,0.26,7.4,0.0
18.64,0.0,0.0,17.08,0.0
18.62,3.66,1.25,15.96,0.0
19.88,3.66,1.25,14.14,0.0
20.38,3.66,1.25,6.27,0.0
19.45,3.66,1.25,6.78,0.0
18.92,3.66,1.25,10.74,0.0
18.64,0.77,0.26,15.41,0.0
18.37,0.0,0.0,18.28,0.0
19.59,3.66,1.25,12.35,0.0
20.92,3.66,1.25,5.06,0.0
19.29,3.66,1.25,5.11,0.0
18.62,3.66,1.25,14.95,0.0
19.09,3.66,1.25,11.96,0.0
18.34,0.77,0.26,14.51,0.0
18.95,0.0,0.0,15.72,0.0
19.66,3.66,1.25,6.55,0.0
18.87,3.66,1.25,6.56,0.0
18.73,3.66,1.25,9.72,0.0
19.14,3.66,1.25,8.64,0.0
20.49,3.66,1.25,6.59,0.0
19.66,0.77,0.26,6.52,0.0
19.11,0.0,0.0,9.36,0.0
19.54,3.66,1.25,11.57,0.0
20.38,3.66,1.25,8.26,0.0
21.48,3.66,1.25,7.22,0.06
20.28,3.66,1.25,3.11,0.0
18.48,3.66,1.25,11.64,0.0
18.21,0.77,0.26,20.19,0.0
18.98,0.0,0.0,17.57,0.0
20.08,3.66,1.25,12.37,0.0
19.52,3.66,1.25,8.79,0.0
20.0,3.66,1.25,10.38,0.0
20.73,3.66,1.25,9.18,0.0
21.64,3.66,1.25,6.56,0.06
20.94,0.77,0.26,5.44,0.0
20.68,0.0,0.0,7.54,0.0
22.6,3.66,1.25,3.73,0.17
23.14,3.66,1.25,1.48,0.1
23.18,3.66,1.25,1.49,0.16
23.13,3.66,1.25,1.84,0.21
23.72,3.66,1.25,0.9,0.19
21.76,0.77,0.26,2.1,0.0
21.56,0.0,0.0,4.01,0.0
22.06,3.66,1.25,1.76,0.08
20.23,3.66,1.25,3.67,0.0
20.56,3.66,1.25,4.38,0.0
21.32,3.66,1.25,6.39,0.02
22.76,3.66,1.25,2.86,0.12
23.78,0.77,0.26,0.33,0.06
20.98,0.0,0.0,3.09,0.0
22.26,3.66,1.25,2.19,0.07
23.05,3.66,1.25,1.71,0.12
23.87,3.66,1.25,0.64,0.21
23.94,3.66,1.25,1.06,0.26
24.03,3.66,1.25,0.46,0.28
21.87,0.77,0.26,1.86,0.0
20.67,0.0,0.0,4.74,0.0
22.0,3.66,1.25,3.15,0.08
22.09,3.66,1.25,1.28,0.0
20.2,3.66,1.25,3.69,0.0
21.42,3.66,1.25,3.11,0.02
22.66,3.66,1.25,2.2,0.1
22.75,0.77,0.26,0.91,0.0
21.37,0.0,0.0,3.87,0.0
23.42,3.66,1.25,1.91,0.27
25.3,3.66,1.25,0.0,0.42
24.68,3.66,1.25,0.33,0.3
25.12,3.66,1.25,0.3,0.4
23.45,3.66,1.25,0.05,0.0
19.52,0.77,0.26,6.99,0.0
19.3,0.0,0.0,9.49,0.0
21.01,3.66,1.25,4.75,0.0
20.82,3.66,1.25,3.93,0.0
23.35,3.66,1.25,1.63,0.21
24.61,3.66,1.25,0.41,0.4
24.9,3.66,1.25,0.42,0.37
25.2,0.77,0.26,0.0,0.13
24.86,0.0,0.0,0.16,0.09
25.14,3.66,1.25,0.0,0.33
24.25,3.66,1.25,0.05,0.18
21.42,3.66,1.25,2.04,0.0
21.57,3.66,1.25,3.2,0.04
22.57,3.66,1.25,3.14,0.12
22.95,0.77,0.26,1.91,0.0
23.72,0.0,0.0,1.5,0.05
24.93,3.66,1.25,0.0,0.28
24.81,3.66,1.25,0.21,0.28
24.06,3.66,1.25,1.2,0.22
25.33,3.66,1.25,0.04,0.49
25.73,3.66,1.25,0.01,0.51
25.32,0.77,0.26,0.0,0.11
25.22,0.0,0.0,0.2,0.13
26.95,3.66,1.25,0.0,0.67
26.57,3.66,1.25,0.0,0.63
26.24,3.66,1.25,0.0,0.57
26.27,3.66,1.25,0.0,0.56
26.44,3.66,1.25,0.0,0.68
26.07,0.77,0.26,0.0,0.27
24.74,0.0,0.0,0.16,0.11
24.77,3.66,1.25,0.0,0.29
24.25,3.66,1.25,0.54,0.28
25.15,3.66,1.25,0.0,0.33
24.96,3.66,1.25,0.41,0.39
25.88,3.66,1.25,0.0,0.44
24.62,0.77,0.26,0.09,0.11
23.82,0.0,0.0,0.56,0.02
22.96,3.66,1.25,0.52,0.01
21.27,3.66,1.25,1.47,0.0
22.44,3.66,1.25,1.44,0.07
22.98,3.66,1.25,0.93,0.1
22.47,3.66,1.25,2.36,0.07
21.38,0.77,0.26,2.47,0.0
21.95,0.0,0.0,2.71,0.0
22.67,3.66,1.25,1.77,0.08
23.51,3.66,1.25,1.41,0.16
25.19,3.66,1.25,0.41,0.44
26.03,3.66,1.25,0.0,0.6
26.17,3.66,1.25,0.0,0.64
25.55,0.77,0.26,0.0,0.22
25.05,0.0,0.0,0.0,0.09
24.75,3.66,1.25,0.55,0.26
25.03,3.66,1.25,0.27,0.42
25.19,3.66,1.25,0.0,0.38
23.63,3.66,1.25,0.3,0.07
23.4,3.66,1.25,1.82,0.2
24.02,0.77,0.26,1.56,0.07
24.7,0.0,0.0,0.17,0.03
25.16,3.66,1.25,0.28,0.44
25.72,3.66,1.25,0.0,0.53
25.02,3.66,1.25,0.42,0.33
25.36,3.66,1.25,0.21,0.43
25.75,3.66,1.25,0.05,0.45
25.11,0.77,0.26,0.15,0.18
24.22,0.0,0.0,1.03,0.04
25.37,3.66,1.25,0.31,0.43
25.95,3.66,1.25,0.0,0.66
24.28,3.66,1.25,0.1,0.1
22.16,3.66,1.25,0.88,0.0
21.76,3.66,1.25,2.32,0.0
21.38,0.77,0.26,2.29,0.0
20.23,0.0,0.0,4.95,0.0
20.6,3.66,1.25,3.41,0.0
21.45,3.66,1.25,2.87,0.01
21.47,3.66,1.25,5.16,0.04
22.14,3.66,1.25,3.05,0.07
22.57,3.66,1.25,1.88,0.05
21.06,0.77,0.26,1.76,0.0
19.86,0.0,0.0,6.26,0.0
20.89,3.66,1.25,3.93,0.0
21.45,3.66,1.25,3.25,0.01
21.57,3.66,1.25,4.28,0.04
21.89,3.66,1.25,4.04,0.05
22.51,3.66,1.25,3.1,0.09
21.1,0.77,0.26,2.1,0.0
21.02,0.0,0.0,5.67,0.0
22.12,3.66,1.25,1.13,0.0
22.67,3.66,1.25,1.63,0.16
21.71,3.66,1.25,1.98,0.0
21.38,3.66,1.25,3.25,0.01
22.01,3.66,1.25,2.46,0.06
21.51,0.77,0.26,3.85,0.0
21.66,0.0,0.0,5.32,0.0
23.32,3.66,1.25,1.52,0.18
22.44,3.66,1.25,1.22,0.01
22.4,3.66,1.25,2.64,0.1
23.17,3.66,1.25,1.75,0.16
23.54,3.66,1.25,1.64,0.19
21.2,0.77,0.26,2.34,0.0
19.89,0.0,0.0,5.98,0.0
21.46,3.66,1.25,3.69,0.06
21.28,3.66,1.25,2.98,0.0
20.89,3.66,1.25,4.69,0.0
20.22,3.66,1.25,4.38,0.0
19.78,3.66,1.25,4.36,0.0
19.24,0.77,0.26,8.63,0.0
19.0,0.0,0.0,6.85,0.0
19.46,3.66,1.25,7.48,0.0
19.44,3.66,1.25,7.21,0.0
19.78,3.66,1.25,11.62,0.0
18.88,3.66,1.25,6.7,0.0
19.14,3.66,1.25,9.44,0.0
18.72,0.77,0.26,10.79,0.0
18.78,0.0,0.0,12.25,0.0
19.29,3.66,1.25,4.96,0.0
19.32,3.66,1.25,6.04,0.0
19.8,3.66,1.25,5.52,0.0
19.53,3.66,1.25,9.22,0.0
19.42,3.66,1.25,9.71,0.0
18.85,0.77,0.26,13.36,0.0
18.87,0.0,0.0,10.12,0.0
18.45,3.66,1.25,9.91,0.0
18.8,3.66,1.25,11.43,0.0
19.08,3.66,1.25,14.14,0.0
18.68,3.66,1.25,7.63,0.0
19.13,3.66,1.25,12.22,0.0
18.76,0.77,0.26,11.1,0.0
18.56,0.0,0.0,11.71,0.0
18.76,3.66,1.25,10.24,0.0
18.57,3.66,1.25,9.94,0.0
19.06,3.66,1.25,10.95,0.0
19.35,3.66,1.25,7.07,0.0
19.59,3.66,1.25,10.36,0.0
19.35,0.77,0.26,7.25,0.0
19.09,0.0,0.0,8.37,0.0
18.41,3.66,1.25,13.74,0.0
18.82,3.66,1.25,18.76,0.0
18.34,3.66,1.25,14.7,0.0
18.69,3.66,1.25,11.01,0.0
18.18,3.66,1.25,16.22,0.0
18.02,0.77,0.26,26.68,0.0
18.07,0.0,0.0,26.68,0.0
18.13,3.66,1.25,22.32,0.0
18.08,3.66,1.25,22.31,0.0
18.19,3.66,1.25,18.02,0.0
18.23,3.66,1.25,13.63,0.0
18.49,3.66,1.25,11.45,0.0
18.36,0.77,0.26,13.89,0.0
18.27,0.0,0.0,16.79,0.0
18.52,3.66,1.25,9.58,0.0
18.24,3.66,1.25,12.06,0.0
18.37,3.66,1.25,17.16,0.0
18.23,3.66,1.25,14.7,0.0
18.14,3.66,1.25,16.95,0.0
18.17,0.77,0.26,24.74,0.0
18.11,0.0,0.0,21.78,0.0
18.08,3.66,1.25,20.51,0.0
17.99,3.66,1.25,27.21,0.0
17.97,3.66,1.25,35.63,0.0
18.02,3.66,1.25,32.54,0.0
18.03,3.66,1.25,28.54,0.0
17.98,0.77,0.26,36.32,0.0
17.98,0.0,0.0,35.61,0.0
18.0,3.66,1.25,30.32,0.0
18.13,3.66,1.25,25.16,0.0
18.08,3.66,1.25,22.17,0.0
18.21,3.66,1.25,17.87,0.0
18.08,3.66,1.25,22.18,0.0
18.06,0.77,0.26,24.87,0.0
18.08,0.0,0.0,24.99,0.0
18.16,3.66,1.25,20.98,0.0
18.11,3.66,1.25,19.71,0.0
18.09,3.66,1.25,21.64,0.0
18.11,3.66,1.25,21.38,0.0
18.05,3.66,1.25,23.46,0.0
18.0,0.77,0.26,31.47,0.0
18.02,0.0,0.0,30.37,0.0
18.06,3.66,1.25,24.97,0.0
18.03,3.66,1.25,29.29,0.0
18.05,3.66,1.25,27.35,0.0
18.1,3.66,1.25,19.58,0.0
18.11,3.66,1.25,24.7,0.0
18.09,0.77,0.26,24.81,0.0
18.1,0.0,0.0,20.76,0.0
18.08,3.66,1.25,19.1,0.0
18.07,3.66,1.25,26.4,0.0
18.04,3.66,1.25,27.6,0.0
18.21,3.66,1.25,19.71,0.0
18.06,3.66,1.25,23.58,0.0
17.99,0.77,0.26,32.69,0.0
18.0,0.0,0.0,32.67,0.0
18.06,3.66,1.25,24.97,0.0
18.02,3.66,1.25,31.01,0.0
18.05,3.66,1.25,26.61,0.0
18.05,3.66,1.25,24.91,0.0
18.0,3.66,1.25,28.12,0.0
17.97,0.77,0.26,34.74,0.0
17.95,0.0,0.0,40.59,0.0
