DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
18.0,19.09,6.5,201.55,0.0
17.97,19.09,6.5,208.7,0.0
18.02,19.09,6.5,177.24,0.0
17.98,19.09,6.5,201.89,0.0
18.03,19.09,6.5,177.14,0.0
18.09,19.09,6.5,158.99,0.0
18.04,19.09,6.5,171.0,0.0
17.99,19.09,6.5,194.5,0.0
18.05,19.09,6.5,192.03,0.0
18.35,19.09,6.5,137.34,0.0
18.3,19.09,6.5,108.98,0.0
18.6,19.09,6.5,83.88,0.0
18.21,19.09,6.5,126.06,0.0
20.44,19.09,6.5,44.99,0.18
18.75,19.09,6.5,79.59,0.0
18.78,19.09,6.5,76.8,0.01
19.12,19.09,6.5,57.11,0.0
19.2,19.09,6.5,65.91,0.09
19.95,19.09,6.5,66.54,0.11
22.19,19.09,6.5,19.53,1.24
21.83,19.09,6.5,27.58,0.45
22.61,19.09,6.5,12.8,1.34
21.69,19.09,6.5,21.6,0.33
22.32,19.09,6.5,6.78,1.99
22.27,19.09,6.5,22.5,1.64
23.32,19.09,6.5,13.63,0.94
24.29,19.09,6.5,4.34,2.63
25.28,19.09,6.5,0.4,4.59
24.52,19.09,6.5,3.16,2.53
22.6,19.09,6.5,12.69,0.36
23.74,19.09,6.5,7.76,2.98
24.16,19.09,6.5,6.64,1.98
24.57,19.09,6.5,3.52,3.31
23.24,19.09,6.5,6.73,1.6
21.37,19.09,6.5,25.02,0.24
21.24,19.09,6.5,27.87,0.31
21.58,19.09,6.5,18.38,0.31
22.21,19.09,6.5,15.82,0.9
20.05,19.09,6.5,29.72,0.09
18.82,19.09,6.5,55.01,0.0
18.79,19.09,6.5,53.99,0.0
18.45,19.09,6.5,71.33,0.0
18.73,19.09,6.5,63.51,0.0
18.25,19.09,6.5,106.6,0.0
18.11,19.09,6.5,126.3,0.0
18.15,19.09,6.5,110.27,0.0
17.98,19.09,6.5,202.21,0.0
18.03,19.09,6.5,177.13,0.0
18.03,19.09,6.5,162.88,0.0
18.01,19.09,6.5,179.74,0.0
18.02,19.09,6.5,169.29,0.0
17.99,19.09,6.5,202.36,0.0
