DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),165449.33
InteriorLights:Electricity [kWh](Hourly),992531387.62
InteriorEquipment:Electricity [kWh](Hourly),338170830.54
Heating:EnergyTransfer [kW](Hourly),191767756.72
Cooling:EnergyTransfer [ton-hr](Hourly) ,506320205.61
